"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (sc)","FT% (sc)","FC% (sc)","FS% (sc)","FO% (sc)","SI% (sc)","SL% (sc)","CU% (sc)","KC% (sc)","EP% (sc)","CH% (sc)","SC% (sc)","KN% (sc)","UN% (sc)","vFA (sc)","vFT (sc)","vFC (sc)","vFS (sc)","vFO (sc)","vSI (sc)","vSL (sc)","vCU (sc)","vKC (sc)","vEP (sc)","vCH (sc)","vSC (sc)","vKN (sc)","FA-X (sc)","FT-X (sc)","FC-X (sc)","FS-X (sc)","FO-X (sc)","SI-X (sc)","SL-X (sc)","CU-X (sc)","KC-X (sc)","EP-X (sc)","CH-X (sc)","SC-X (sc)","KN-X (sc)","FA-Z (sc)","FT-Z (sc)","FC-Z (sc)","FS-Z (sc)","FO-Z (sc)","SI-Z (sc)","SL-Z (sc)","CU-Z (sc)","KC-Z (sc)","EP-Z (sc)","CH-Z (sc)","SC-Z (sc)","KN-Z (sc)","wFA (sc)","wFT (sc)","wFC (sc)","wFS (sc)","wFO (sc)","wSI (sc)","wSL (sc)","wCU (sc)","wKC (sc)","wEP (sc)","wCH (sc)","wSC (sc)","wKN (sc)","wFA/C (sc)","wFT/C (sc)","wFC/C (sc)","wFS/C (sc)","wFO/C (sc)","wSI/C (sc)","wSL/C (sc)","wCU/C (sc)","wKC/C (sc)","wEP/C (sc)","wCH/C (sc)","wSC/C (sc)","wKN/C (sc)","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","LD+%","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","CStr%","CSW%","xBA","xSLG","xwOBA","L-WAR","PPTV","CPTV","BPTV","DSV","DGV","BTV","wPPTV","wCPTV","wBPTV","wDSV","wDGV","wBTV","EBV","ESV","wOppTeamV","wTeamV","wNetBatV","playerid","mlbamid"
"Yasmani Grandal","CHW","4","18","4","4","11","0","16.7%","11.1%",".929",".375",".500",".611","1.429",".768","","405","-0.2","6.5","0.1","0.7","32","4","14","18","7","2","1","0","4","4","11","3","0","2","1","0","0","0","0","0",".500","2","7","3","0","74","34","40","0","0","0","16.7%","11.1%","1.50",".611","1.429","2.040",".929",".375","0.29","25.0%","16.7%","58.3%","0.0%","57.1%","0.0%","0.0%",".768","6.8","9","6.7","-0.1","0.6","0.2","7.2","0.7","$5.8","0.1","405","0.30","-0.13","0.42","9.11","0.91","0.60","","0","0.64","-0.15","56.8%","92.0","6.8%","80.6","4.1%","87.3","1.4%","82.0","27.0%","84.2","4.1%","81.7","","","","","3.8","0.1","0.6","-0.1","2.3","0.1","","9.15","2.84","21.23","-14.27","11.34","3.15","","12.8%","62.9%","36.5%","60.0%","95.5%","88.9%","47.3%","50.0%","4.1%","-0.2","45.9%","","2.7%","4.1%","","10.8%","8.1%","1.4%","","","27.0%","","","","92.0","","88.8","81.6","","92.1","81.1","81.5","","","84.2","","","-4.2","","1.5","4.4","","-2.5","2.6","9.6","","","-7.5","","","8.7","","1.3","0.6","","6.4","-0.4","-5.0","","","3.2","","","0.7","","0.1","0.1","","3.2","0.6","-0.1","","","2.3","","","2.00","","6.29","3.11","","39.49","10.78","-14.18","","","11.31","","","8.1%","64.9%","36.5%","33.3%","95.8%","88.9%","50.0%","20.8","0.1","0.0","-0.1","32 - 32","6.5","0.1","-0.1","33.3%","33.3%","33.3%","16.7%","33.3%","50.0%","50.0%","27.0%","","4.1%","51.4%","2.7%","4.1%","","","5.4%","5.4%","","84.4","","81.1","92.2","88.9","81.9","","","91.7","81.5","","-7.1","","1.1","-3.9","2.5","4.0","","","1.8","6.1","","1.7","","-4.6","7.5","-0.1","-0.7","","","4.4","-0.8","","2.3","","0.1","2.0","0.1","0.1","","","1.9","0.4","","11.31","","2.93","5.21","6.29","3.11","","","46.49","10.42","","8.8%","60.0%","36.5%","33.3%","95.8%","88.9%","54.1%","20.8","0.0","203","197","49","193","344","547","129","122","39","157","420","83","96","133","102","65","155","96.3","19.3","6","50.0%","112.0","8","66.7%","12","17.6%","21.6%","","","","0.7","","","","","","","","","","","","","","","","","0.0","11368","518735"
"Rhys Hoskins","PHI","7","24","4","6","8","0","4.2%","16.7%",".636",".286",".364",".417","1.000",".570","","260","-0.1","4.8","-0.5","0.5","28","7","22","24","8","2","2","0","4","6","8","1","0","4","1","0","0","0","0","0",".364","2","12","4","1","102","43","59","0","0","0","4.2%","16.7%","0.25",".417","1.000","1.417",".636",".286","0.17","22.2%","11.1%","66.7%","8.3%","33.3%","0.0%","0.0%",".570","5.1","8","4.9","-0.1","0.8","-0.4","5.2","0.5","$4.1","2.0","260","1.08","-0.35","1.43","4.76","0.49","1.08","2.38","2","0.76","0.24","59.8%","94.3","24.5%","82.4","8.8%","84.7","2.9%","72.7","3.9%","85.3","","","","","","","1.9","2.4","-0.5","-0.3","1.5","","","3.04","9.58","-5.97","-10.34","37.33","","","31.1%","68.3%","46.1%","57.9%","89.3%","76.6%","40.2%","54.2%","10.8%","-0.1","22.5%","","7.8%","","","37.3%","23.5%","4.9%","","","3.9%","","","","94.0","","84.1","","","94.5","83.6","71.4","","","85.3","","","-1.9","","-1.2","","","-5.4","2.8","0.7","","","-5.5","","","9.2","","3.9","","","7.5","1.3","-4.5","","","4.0","","","0.8","","-0.5","","","1.1","2.4","-0.4","","","1.5","","","3.33","","-6.77","","","2.98","9.90","-7.63","","","37.29","","","26.9%","66.0%","46.1%","35.7%","93.9%","76.6%","49.0%","25.3","-0.5","0.0","-0.1","28 - 28","4.8","0.1","0.0","50.0%","27.8%","22.2%","5.6%","44.4%","50.0%","37.5%","3.9%","","2.9%","26.5%","10.8%","","","","32.4%","23.5%","","85.1","","72.5","94.1","86.3","","","","94.4","82.0","","-5.2","","6.0","-2.3","-0.6","","","","-5.3","2.2","","2.5","","-11.0","8.1","2.9","","","","5.9","-0.3","","1.5","","-0.4","1.4","-0.7","","","","0.5","2.5","","37.29","","-11.86","5.31","-6.38","","","","1.40","10.46","","25.5%","66.7%","46.1%","38.5%","91.2%","76.6%","50.0%","25.3","","146","45","75","128","238","371","97","106","26","183","244","124","79","90","34","88","152","95.4","29.9","7","38.9%","109.0","10","55.6%","18","11.8%","22.5%","","","","0.5","","","","","","","","","","","","","","","","","0.0","16472","656555"
"Max Schrock","CIN","7","15","1","5","2","0","13.3%","6.7%",".231",".545",".538",".600",".769",".569","","255","0.0","2.9","-0.2","0.3","26","7","13","15","7","6","0","0","1","5","2","2","1","1","0","0","0","0","0","0",".538","4","5","3","1","48","18","30","0","0","0","13.3%","6.7%","2.00",".600",".769","1.369",".231",".545","0.80","25.0%","33.3%","41.7%","20.0%","20.0%","0.0%","0.0%",".569","3.2","5","3.0","-0.1","0.5","-0.1","3.2","0.3","$2.6","2.6","255","0.21","-0.08","0.29","2.84","0.32","0.56","0.57","2","0.42","-0.04","54.2%","94.9","10.4%","89.4","6.3%","88.0","","","29.2%","86.4","","","","","8.3%","","1.8","-0.3","-0.2","","1.6","","","7.10","-5.08","-5.15","","11.27","","","45.2%","88.2%","60.4%","64.3%","100.0%","82.8%","35.4%","33.3%","10.4%","0.0","39.6%","","6.3%","10.4%","","14.6%","10.4%","","","","18.8%","","","","95.6","","87.7","83.8","","92.6","89.5","","","","87.8","","","-5.7","","0.7","-7.4","","-7.6","-0.6","","","","-9.4","","","7.7","","3.7","0.5","","4.4","0.6","","","","1.8","","","1.0","","-0.2","1.1","","0.9","-0.3","","","","0.4","","","5.15","","-5.15","22.85","","12.45","-5.06","","","","4.45","","","35.7%","95.0%","60.4%","50.0%","100.0%","82.8%","41.7%","21.0","-0.2","0.0","-0.1","26 - 26","2.9","0.0","0.1","33.3%","50.0%","16.7%","8.3%","50.0%","41.7%","26.7%","20.8%","","","37.5%","6.3%","8.3%","","","16.7%","10.4%","","88.0","","","95.8","88.0","83.2","","","93.3","89.6","","-8.5","","","-5.1","1.2","-7.4","","","-6.8","-0.1","","0.2","","","7.0","2.2","-0.5","","","3.5","-0.6","","1.8","","","0.5","-0.2","-0.3","","","1.3","-0.3","","18.07","","","2.85","-5.15","-6.61","","","16.71","-5.06","","39.3%","90.0%","60.4%","54.5%","100.0%","82.8%","41.7%","21.0","","216","145","30","184","183","135","185","119","78","115","146","83","142","68","51","99","127","90.4","17.1","1","8.3%","103.7","4","33.3%","12","2.1%","12.5%","","","","0.3","","","","","","","","","","","","","","","","","0.0","17750","621011"
"Jesse Winker","CIN","12","48","3","9","12","0","22.9%","8.3%",".429",".357",".371",".542",".800",".542","","237","-0.7","7.7","-0.9","0.8","27","12","35","48","13","4","6","0","3","9","12","11","0","4","2","0","0","1","0","0",".371","8","14","9","2","197","91","106","0","0","0","22.9%","8.3%","2.75",".542",".800","1.342",".429",".357","0.57","29.0%","25.8%","45.2%","14.3%","21.4%","0.0%","0.0%",".542","9.1","15","8.4","-0.4","1.5","-0.5","8.4","0.8","$6.8","1.3","237","0.68","-0.52","1.20","9.91","0.96","0.81","2.17","1","0.75","0.09","47.2%","93.2","19.8%","84.2","5.1%","88.3","13.7%","78.9","9.1%","85.0","5.1%","86.5","","","","","2.2","2.7","-0.1","1.9","1.8","0.3","","2.36","6.83","-1.09","7.01","9.91","2.99","","22.4%","75.0%","41.6%","67.9%","90.7%","82.9%","36.5%","43.8%","7.1%","-0.7","34.0%","","5.1%","9.1%","","13.2%","19.8%","13.2%","0.5%","","5.1%","","","","93.4","","88.2","85.3","","92.3","84.1","78.8","79.1","","85.7","","","-2.8","","1.3","-5.3","","-3.6","0.8","1.0","6.3","","-5.5","","","8.7","","5.8","0.7","","5.6","1.0","-4.8","-5.1","","2.7","","","0.3","","-0.1","1.7","","1.8","2.7","2.1","-0.2","","0.4","","","0.50","","-1.09","9.45","","6.99","6.81","8.12","-21.92","","3.71","","","18.9%","68.1%","41.6%","65.0%","88.7%","82.9%","46.2%","24.7","-0.9","-0.1","-0.5","27 - 27","7.7","0.1","-0.1","48.4%","19.4%","32.3%","16.1%","54.8%","29.0%","37.5%","6.1%","","16.2%","39.1%","5.1%","8.1%","","","8.1%","17.3%","","86.2","","79.7","93.5","88.5","85.5","","","93.5","84.7","","-5.8","","1.6","-1.6","1.7","-4.4","","","-8.1","0.7","","0.1","","-5.9","7.6","4.7","0.2","","","3.2","0.2","","0.7","","2.4","0.5","-0.1","1.3","","","1.6","2.2","","6.19","","7.45","0.66","-1.09","8.31","","","10.29","6.37","","18.9%","68.1%","41.6%","65.0%","88.7%","82.9%","46.2%","24.7","","149","249","37","166","190","250","121","139","60","124","157","120","55","131","98","108","88","88.6","20.7","3","9.7%","108.8","13","41.9%","31","12.2%","19.3%","","","","0.9","","","","","","","","","","","","","","","","","0.0","13590","608385"
"C.J. Cron","COL","26","108","11","18","34","0","12.0%","19.4%",".441",".403",".387",".463",".828",".522","","216","-0.7","15.3","-2.1","1.7","31","26","93","108","36","17","8","0","11","18","34","13","2","21","1","1","0","3","0","0",".387","23","36","14","2","412","161","251","1","0","0","12.0%","19.4%","0.62",".463",".828","1.291",".441",".403","0.64","19.2%","31.5%","49.3%","5.6%","30.6%","4.3%","0.0%",".522","18.5","32","15.9","-0.2","3.4","-1.9","16.8","1.7","$13.4","0.7","216","1.29","-1.63","2.92","24.66","2.19","0.95","","0","1.57","-0.22","55.6%","92.4","21.4%","83.8","5.3%","88.7","5.1%","78.9","11.4%","83.9","1.2%","88.0","","","1.9%","","10.1","6.2","-1.3","-0.6","2.6","-0.3","","4.40","7.09","-5.79","-3.08","5.55","-5.53","","32.2%","71.4%","46.8%","63.9%","85.5%","76.2%","37.4%","48.1%","11.2%","-0.7","35.4%","","4.1%","1.2%","","19.9%","20.1%","7.0%","0.2%","","11.9%","","","","92.6","","89.3","87.8","","92.3","83.9","80.2","77.9","","83.8","","","-1.9","","1.7","-5.9","","-3.5","3.0","2.3","3.9","","-2.2","","","7.7","","5.5","3.2","","5.2","1.4","-2.9","-8.2","","2.9","","","5.4","","-0.9","-0.3","","4.6","5.4","-0.2","0.0","","2.6","","","3.68","","-5.30","-5.50","","5.55","6.51","-0.56","3.58","","5.29","","","28.7%","66.8%","46.8%","58.1%","84.7%","76.2%","47.6%","22.2","-2.1","-0.1","-0.5","31 - 31","15.3","0.2","0.0","39.7%","37.0%","23.3%","12.3%","49.3%","38.4%","41.7%","11.4%","","5.8%","35.4%","3.4%","1.2%","","","20.1%","22.6%","","84.0","","79.4","92.7","89.9","88.3","","","92.2","84.2","","-2.3","","3.5","-1.6","2.2","-5.7","","","-3.7","3.1","","2.2","","-5.9","7.5","5.2","1.8","","","4.0","0.7","","2.6","","-0.1","5.0","-0.4","-0.3","","","5.0","4.8","","5.55","","-0.30","3.39","-3.15","-5.50","","","6.03","5.20","","29.9%","66.5%","46.8%","60.6%","84.3%","76.2%","46.4%","22.2","","156","131","87","142","197","257","137","92","74","136","223","99","105","94","75","97","117","89.2","18.4","12","16.4%","114.3","32","43.8%","73","14.1%","25.2%","","","","1.7","","","","","","","","","","","","","","","","","0.0","12546","543068"
"Ramon Laureano","OAK","3","13","0","2","0","1","15.4%","38.5%",".300",".800",".400",".538",".700",".516","","240","0.2","2.4","0.0","0.3","26","3","10","13","4","1","3","0","0","2","0","2","0","5","1","0","0","0","1","0",".400","2","1","2","0","65","27","38","0","0","0","15.4%","38.5%","0.40",".538",".700","1.238",".300",".800","2.00","40.0%","40.0%","20.0%","0.0%","0.0%","0.0%","0.0%",".516","2.2","4","2.2","0.0","0.4","0.0","2.9","0.3","$2.3","6.0","240","0.17","-0.11","0.29","1.72","0.18","0.79","","0","0.17","0.04","41.5%","92.9","23.1%","84.2","12.3%","90.9","16.9%","79.7","3.1%","86.5","3.1%","85.0","","","","","0.4","1.3","-0.2","0.0","0.8","-0.2","","1.41","8.48","-2.85","0.41","39.21","-8.77","","29.3%","70.8%","44.6%","33.3%","100.0%","72.4%","36.9%","30.8%","12.3%","0.2","26.2%","","16.9%","3.1%","","10.8%","21.5%","13.8%","4.6%","","3.1%","","","","93.1","","91.1","84.7","","92.6","84.3","79.5","81.2","","86.6","","","1.5","","-1.2","-4.8","","-4.9","3.1","2.4","-0.4","","-11.8","","","9.7","","6.6","2.7","","8.0","-0.5","-8.5","-8.3","","2.0","","","0.1","","0.5","-0.2","","-0.5","1.3","0.0","0.0","","0.8","","","0.67","","4.90","-8.73","","-7.16","9.49","-0.26","0.09","","39.06","","","30.6%","62.1%","44.6%","18.2%","100.0%","69.0%","44.6%","23.5","0.0","0.2","0.0","26 - 26","2.4","0.0","0.0","100.0%","0.0%","0.0%","0.0%","20.0%","80.0%","53.8%","3.1%","","20.0%","29.2%","16.9%","3.1%","","","7.7%","20.0%","","86.7","","80.3","93.1","91.2","84.6","","","92.6","84.5","","-11.5","","2.5","1.8","-0.1","-4.1","","","-8.8","3.3","","0.2","","-9.7","8.4","5.0","1.0","","","6.2","-2.3","","0.8","","-0.1","0.1","0.5","-0.2","","","-0.4","1.4","","39.06","","-0.47","0.31","4.90","-8.73","","","-8.95","10.53","","30.0%","68.0%","44.6%","25.0%","100.0%","69.0%","38.5%","23.5","","163","182","168","170","168","177","274","195","94","54","0","248","0","0","0","39","249","95.0","7.1","0","0.0%","105.1","3","60.0%","5","13.8%","26.2%","","","","0.3","","","","","","","","","","","","","","","","","0.0","17128","657656"
"Yu Chang","CLE","10","33","4","9","7","0","6.1%","21.2%",".548",".300",".323",".364",".871",".499","","223","0.2","5.2","0.2","0.6","25","10","31","33","10","2","3","1","4","9","7","2","0","7","0","0","0","1","0","0",".323","14","8","2","0","108","37","71","0","0","0","6.1%","21.2%","0.29",".364",".871","1.235",".548",".300","1.75","8.3%","58.3%","33.3%","0.0%","50.0%","0.0%","0.0%",".499","5.0","9","5.0","0.5","1.0","-0.3","6.5","0.6","$5.2","5.1","223","0.65","-0.46","1.11","5.03","0.50","0.85","1.56","1","0.89","-0.13","40.7%","92.5","35.2%","84.2","3.7%","86.0","4.6%","74.4","14.8%","83.8","0.9%","81.0","","","","","2.6","0.3","0.5","0.0","2.2","0.1","","5.88","0.84","11.93","-0.77","13.97","9.27","","36.2%","71.8%","49.1%","56.0%","89.3%","73.6%","36.1%","60.6%","13.0%","0.2","29.6%","","3.7%","0.9%","","11.1%","31.5%","5.6%","2.8%","","14.8%","","","","92.5","","86.0","81.2","","92.6","84.6","74.9","81.0","","83.8","","","-0.4","","2.0","-5.3","","1.8","0.9","-0.6","0.6","","5.3","","","9.2","","5.0","4.4","","6.7","1.3","-5.4","2.7","","4.7","","","1.8","","0.5","0.1","","-0.2","0.3","-0.1","0.1","","2.2","","","5.54","","11.85","9.18","","-1.89","0.86","-1.33","2.42","","13.98","","","31.4%","64.9%","49.1%","37.5%","89.2%","73.6%","52.8%","21.1","0.2","0.0","0.1","25 - 25","5.2","0.1","0.0","29.2%","33.3%","37.5%","12.5%","45.8%","41.7%","39.4%","14.8%","","4.6%","31.5%","3.7%","0.9%","","","9.3%","35.2%","","84.2","","74.9","92.8","86.3","81.3","","","92.5","84.3","","4.6","","-3.4","0.3","1.9","-5.7","","","-1.7","1.0","","3.7","","-8.4","8.3","4.0","2.4","","","5.4","0.2","","2.2","","0.0","2.1","0.5","0.1","","","-0.5","0.3","","13.98","","-0.78","6.12","11.85","9.18","","","-5.37","0.85","","32.7%","66.0%","49.1%","44.4%","88.6%","73.6%","49.1%","21.1","","131","72","93","115","210","323","103","41","137","90","367","72","96","150","76","89","130","90.0","7.5","2","8.3%","105.2","13","54.2%","24","16.7%","29.6%","","","","0.6","","","","","","","","","","","","","","","","","0.0","14773","644374"
"Tyler Naquin","CIN","25","94","6","19","13","1","11.7%","21.3%",".349",".456",".386",".457",".735",".494","","206","-0.4","12.3","-1.8","1.4","30","25","83","94","32","16","9","1","6","19","13","11","0","20","0","0","0","2","1","1",".386","24","16","20","2","382","134","248","4","3","2","11.7%","21.3%","0.55",".457",".735","1.192",".349",".456","1.50","33.3%","40.0%","26.7%","12.5%","37.5%","16.7%","66.7%",".494","14.0","25","12.7","-1.7","2.9","-0.1","13.7","1.4","$11.0","4.9","206","1.10","-0.95","2.05","13.32","1.34","0.76","0.17","1","1.37","0.08","55.0%","93.4","12.0%","84.9","10.2%","89.8","12.0%","79.2","9.9%","86.2","0.8%","87.0","","","","","9.9","2.3","1.4","0.3","0.7","-0.1","","4.70","5.07","3.70","0.72","1.73","-4.42","","39.5%","76.4%","53.4%","70.2%","89.1%","80.4%","37.7%","57.4%","10.5%","-0.4","36.9%","","9.9%","2.6%","","18.3%","12.0%","10.5%","1.6%","","8.1%","","","","93.8","","89.9","86.3","","92.4","85.0","78.9","79.2","","86.3","","","-2.7","","0.8","-6.2","","-2.1","0.8","2.8","4.8","","-7.7","","","9.1","","5.3","0.8","","4.3","1.0","-5.2","-6.0","","3.4","","","8.0","","1.1","-0.5","","1.7","3.1","-0.4","0.3","","1.0","","","5.71","","3.02","-5.09","","2.49","6.74","-0.93","4.73","","3.26","","","34.8%","73.4%","53.4%","69.6%","84.4%","79.4%","48.2%","23.8","-1.8","-0.3","-0.1","30 - 30","12.3","0.2","0.0","52.4%","25.4%","22.2%","15.9%","47.6%","36.5%","39.4%","9.4%","","11.8%","40.3%","9.4%","1.6%","","","14.4%","13.1%","","86.7","","79.2","93.9","90.1","86.4","","","92.4","85.3","","-7.3","","3.5","-2.4","0.9","-5.8","","","-1.9","0.9","","1.8","","-7.0","7.9","4.6","-0.4","","","2.8","-0.2","","1.0","","0.1","9.8","1.1","-0.4","","","0.0","2.9","","2.70","","0.30","6.36","3.12","-7.22","","","0.00","5.72","","35.5%","73.1%","53.4%","67.6%","85.7%","79.4%","47.6%","23.8","","155","127","95","140","175","204","155","159","94","73","274","130","72","90","97","94","111","91.4","11.3","10","15.9%","109.4","29","46.0%","63","11.5%","22.0%","","","","1.4","","","","","","","","","","","","","","","","","0.0","13359","571980"
"Bobby Dalbec","BOS","24","72","7","12","21","0","11.1%","25.0%",".435",".378",".339",".431",".774",".490","","212","-0.1","9.7","-2.3","1.0","26","24","62","72","21","9","4","1","7","12","21","8","1","18","2","0","0","1","0","0",".339","15","18","11","1","288","111","177","2","0","0","11.1%","25.0%","0.44",".431",".774","1.205",".435",".378","0.83","25.0%","34.1%","40.9%","5.6%","38.9%","13.3%","0.0%",".490","10.4","19","9.9","-1.0","2.3","-1.3","9.9","1.0","$7.9","3.4","212","0.20","-0.93","1.12","10.85","1.00","0.72","1.18","4","0.83","-0.55","52.1%","92.9","16.3%","83.9","11.8%","87.0","8.0%","80.1","11.5%","82.7","0.3%","79.0","","","1.4%","","2.1","2.4","1.1","-1.0","5.0","0.1","","1.42","5.11","3.10","-4.17","15.16","10.70","","30.6%","76.3%","49.3%","53.8%","70.0%","64.1%","41.0%","50.0%","17.7%","-0.1","34.4%","","12.8%","0.3%","","16.7%","15.3%","8.0%","1.0%","","11.5%","","","","93.7","","86.8","79.4","","93.2","83.8","78.1","76.6","","82.6","","","1.3","","1.3","-3.9","","1.2","0.5","1.7","-3.1","","1.5","","","10.1","","3.5","3.6","","6.0","1.1","-3.4","-3.1","","3.8","","","2.5","","2.8","0.1","","-0.6","0.2","0.1","-0.4","","5.0","","","2.51","","7.49","10.60","","-1.16","0.41","0.30","-13.93","","15.14","","","26.0%","74.6%","49.3%","48.7%","69.9%","64.1%","47.9%","24.3","-2.3","-0.1","-0.3","26 - 26","9.7","0.2","0.2","47.7%","25.0%","27.3%","9.1%","50.0%","40.9%","45.8%","11.5%","","8.7%","38.5%","11.1%","0.3%","","","13.2%","16.7%","","82.7","","80.0","93.2","87.2","79.8","","","93.1","84.6","","1.2","","-1.1","1.4","0.6","-4.4","","","0.3","2.1","","2.4","","-6.1","8.6","2.4","2.6","","","4.2","0.3","","5.0","","-0.9","2.5","1.7","0.1","","","-0.5","1.7","","15.14","","-3.41","2.24","5.32","10.60","","","-1.22","3.46","","23.2%","73.3%","49.3%","43.8%","70.0%","64.1%","52.1%","24.3","","138","131","109","136","186","256","130","122","80","110","285","119","72","109","56","97","127","93.8","19.7","10","22.7%","114.4","24","54.5%","44","12.2%","29.9%","","","","1.0","","","","","","","","","","","","","","","","","0.0","19966","666915"
"Bryce Harper","PHI","28","124","10","25","25","0","17.7%","16.9%",".439",".333",".337",".455",".776",".489","","208","-1.2","15.8","-1.1","1.9","28","28","98","124","33","11","11","1","10","25","25","22","4","21","1","2","1","1","0","1",".337","28","32","18","2","511","210","301","1","2","1","17.7%","16.9%","1.05",".455",".776","1.231",".439",".333","0.88","23.1%","35.9%","41.0%","6.3%","31.3%","3.6%","50.0%",".489","17.9","33","17.0","0.2","3.9","-1.3","18.8","1.9","$15.1","3.8","208","1.16","-1.51","2.67","16.60","1.67","0.90","","0","2.01","-0.73","47.9%","93.9","18.2%","84.3","5.9%","89.5","12.9%","79.3","13.7%","87.4","1.4%","87.6","","","3.1%","","10.0","-1.3","3.5","2.2","2.6","0.3","","4.06","-1.35","11.68","3.27","3.77","3.71","","30.8%","73.9%","47.6%","58.3%","85.0%","74.5%","38.9%","52.4%","12.1%","-1.2","38.4%","","7.6%","2.0%","","10.0%","15.1%","13.5%","0.8%","","12.7%","","","","94.1","","88.4","87.5","","92.7","84.7","79.1","79.4","","87.2","","","-2.0","","0.0","-8.5","","-0.2","1.0","3.1","5.5","","-9.0","","","9.3","","4.2","3.4","","4.7","0.8","-5.1","-7.8","","3.3","","","9.2","","2.5","1.1","","0.6","-0.7","2.3","0.1","","1.8","","","4.68","","6.38","11.12","","1.08","-0.85","3.30","2.45","","2.80","","","25.5%","74.2%","47.7%","59.2%","80.9%","74.6%","45.6%","25.8","-1.1","-0.5","-0.5","28 - 28","15.8","0.3","-0.2","35.0%","35.0%","30.0%","5.0%","51.3%","43.8%","42.7%","12.9%","","13.9%","38.9%","8.2%","1.6%","","","9.4%","15.1%","","87.3","","80.5","94.0","88.5","87.0","","","93.2","83.4","","-8.8","","2.9","-1.8","-0.1","-8.7","","","-0.5","1.4","","1.8","","-7.2","8.2","3.2","2.4","","","3.6","-0.6","","1.1","","2.5","10.4","2.3","1.1","","","0.2","-0.6","","1.63","","3.54","5.20","5.38","13.35","","","0.41","-0.78","","24.6%","72.5%","47.7%","56.9%","81.0%","74.6%","48.3%","25.8","","135","193","76","140","184","256","113","110","84","113","228","87","100","122","31","101","133","93.1","16.3","12","15.0%","111.0","44","55.0%","80","11.2%","23.3%","","","","1.9","","","","","","","","","","","","","","","","","0.0","11579","547180"
