"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (sc)","FT% (sc)","FC% (sc)","FS% (sc)","FO% (sc)","SI% (sc)","SL% (sc)","CU% (sc)","KC% (sc)","EP% (sc)","CH% (sc)","SC% (sc)","KN% (sc)","UN% (sc)","vFA (sc)","vFT (sc)","vFC (sc)","vFS (sc)","vFO (sc)","vSI (sc)","vSL (sc)","vCU (sc)","vKC (sc)","vEP (sc)","vCH (sc)","vSC (sc)","vKN (sc)","FA-X (sc)","FT-X (sc)","FC-X (sc)","FS-X (sc)","FO-X (sc)","SI-X (sc)","SL-X (sc)","CU-X (sc)","KC-X (sc)","EP-X (sc)","CH-X (sc)","SC-X (sc)","KN-X (sc)","FA-Z (sc)","FT-Z (sc)","FC-Z (sc)","FS-Z (sc)","FO-Z (sc)","SI-Z (sc)","SL-Z (sc)","CU-Z (sc)","KC-Z (sc)","EP-Z (sc)","CH-Z (sc)","SC-Z (sc)","KN-Z (sc)","wFA (sc)","wFT (sc)","wFC (sc)","wFS (sc)","wFO (sc)","wSI (sc)","wSL (sc)","wCU (sc)","wKC (sc)","wEP (sc)","wCH (sc)","wSC (sc)","wKN (sc)","wFA/C (sc)","wFT/C (sc)","wFC/C (sc)","wFS/C (sc)","wFO/C (sc)","wSI/C (sc)","wSL/C (sc)","wCU/C (sc)","wKC/C (sc)","wEP/C (sc)","wCH/C (sc)","wSC/C (sc)","wKN/C (sc)","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","LD+%","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","CStr%","CSW%","xBA","xSLG","xwOBA","L-WAR","PPTV","CPTV","BPTV","DSV","DGV","BTV","wPPTV","wCPTV","wBPTV","wDSV","wDGV","wBTV","EBV","ESV","wOppTeamV","wTeamV","wNetBatV","playerid","mlbamid"
"Seth Beer","ARI","5","10","1","4","3","0","10.0%","30.0%",".444",".600",".444",".500",".889",".570","","260","-0.1","1.9","-1.0","0.1","24","5","9","10","4","2","1","0","1","4","3","1","0","3","0","0","0","0","0","0",".444","0","3","3","0","36","12","24","0","0","0","10.0%","30.0%","0.33",".500",".889","1.389",".444",".600","0.00","50.0%","0.0%","50.0%","0.0%","33.3%","0.0%","0.0%",".570","2.1","3","2.0","-0.7","0.3","-0.3","1.3","0.1","$1.0","2.6","260","0.17","-0.10","0.28","1.80","0.19","0.87","0.33","2","0.24","-0.04","50.0%","94.3","19.4%","82.3","11.1%","90.8","13.9%","81.2","5.6%","83.5","","","","","","","1.4","0.2","0.1","0.4","0.0","","","7.64","3.08","1.50","8.77","-2.36","","","42.9%","80.0%","58.3%","66.7%","91.7%","81.0%","41.7%","80.0%","11.1%","-0.1","33.3%","","11.1%","","","16.7%","13.9%","19.4%","","","5.6%","","","","94.3","","90.8","","","94.3","82.4","81.3","","","83.7","","","2.3","","1.7","","","1.9","-2.9","-1.0","","","-7.9","","","9.9","","6.3","","","3.5","-0.3","-3.8","","","6.3","","","-0.4","","0.1","","","1.8","0.4","0.2","","","0.0","","","-3.26","","1.48","","","29.39","8.95","2.91","","","-2.35","","","38.9%","77.8%","58.3%","57.1%","92.9%","81.0%","50.0%","26.4","-1.0","0.0","-0.1","24 - 24","1.9","0.0","0.0","50.0%","33.3%","16.7%","16.7%","33.3%","50.0%","50.0%","5.6%","","13.9%","33.3%","16.7%","","","","16.7%","13.9%","","83.7","","81.3","94.3","88.0","","","","94.3","82.2","","-8.3","","-1.1","2.0","0.3","","","","1.5","-3.9","","4.6","","-7.7","8.6","3.5","","","","2.2","-2.1","","0.0","","0.4","-0.4","-0.2","","","","1.8","0.5","","-2.35","","8.71","-3.26","-3.45","","","","29.39","9.64","","41.2%","73.7%","58.3%","57.1%","92.9%","81.0%","52.8%","26.4","","179","109","135","153","211","259","204","239","0","137","244","124","95","68","102","66","152","88.5","22.3","0","0.0%","102.5","3","50.0%","6","8.3%","19.4%","","","","0.2","","","","","","","","","","","","","","","","","0.0","20493","666179"
"Jason Castro","HOU","8","17","2","3","4","0","11.8%","23.5%",".467",".444",".400",".471",".867",".546","","256","-0.1","3.1","0.0","0.4","34","8","15","17","6","3","1","0","2","3","4","2","0","4","0","0","0","0","0","0",".400","5","3","3","1","83","30","53","1","0","0","11.8%","23.5%","0.50",".471",".867","1.337",".467",".444","1.67","27.3%","45.5%","27.3%","33.3%","66.7%","20.0%","0.0%",".546","3.3","5","3.2","-0.2","0.5","0.3","3.8","0.4","$3.0","0.6","256","0.30","-0.27","0.57","2.97","0.30","1.38","1.98","4","0.20","0.02","55.4%","93.7","10.8%","84.1","","","13.3%","76.5","20.5%","85.4","","","","","","","2.2","0.5","","-0.5","1.0","","","4.69","5.72","","-4.96","6.13","","","33.3%","65.7%","47.0%","56.3%","65.2%","61.5%","42.2%","82.4%","18.1%","-0.1","37.3%","","3.6%","","","18.1%","6.0%","14.5%","","","20.5%","","","","93.9","","86.1","","","93.2","84.9","76.4","","","85.4","","","-3.9","","1.5","","","-3.2","-1.2","4.9","","","-8.6","","","9.3","","3.2","","","5.3","1.8","-4.2","","","3.5","","","2.9","","0.3","","","-0.8","0.2","-0.6","","","1.1","","","9.39","","11.39","","","-5.34","4.20","-4.86","","","6.48","","","27.3%","60.0%","47.0%","55.6%","63.3%","61.5%","60.2%","25.2","0.0","0.0","0.0","34 - 34","3.1","0.0","-0.1","54.5%","36.4%","9.1%","27.3%","36.4%","36.4%","47.1%","20.5%","","13.3%","39.8%","3.6%","","","","15.7%","7.2%","","85.4","","76.5","93.6","86.1","","","","94.1","83.2","","-8.2","","5.2","-2.8","1.8","","","","-4.6","1.1","","2.1","","-6.2","8.2","2.0","","","","3.4","0.2","","1.1","","-0.5","2.5","0.3","","","","-0.4","0.2","","6.48","","-4.93","7.72","11.39","","","","-3.37","2.82","","27.8%","61.7%","47.0%","50.0%","65.5%","61.5%","56.6%","25.2","0.0","163","139","103","149","208","275","152","133","107","74","489","135","105","36","167","71","113","88.0","9.5","2","18.2%","104.4","5","45.5%","11","16.9%","34.9%","","","","0.4","","","","","","","","","","","","","","","","","0.0","8722","488771"
"A.J. Pollock","LAD","10","32","4","5","11","0","9.4%","15.6%",".556",".316",".370",".438",".926",".537","","242","-0.5","5.3","-0.3","0.6","33","10","27","32","10","3","3","0","4","5","11","3","0","5","1","1","0","0","0","1",".370","7","11","5","0","119","39","80","0","0","0","9.4%","15.6%","0.60",".438",".926","1.363",".556",".316","0.64","21.7%","30.4%","47.8%","0.0%","36.4%","0.0%","0.0%",".537","5.9","10","5.8","0.0","1.0","-0.3","6.1","0.6","$4.9","1.5","242","0.57","-0.63","1.20","7.03","0.72","1.04","1.42","2","0.66","-0.12","47.9%","93.7","21.8%","82.2","5.0%","87.3","14.3%","80.2","10.1%","85.4","0.8%","88.0","","","","","5.0","1.7","-0.2","-0.2","0.0","-0.2","","8.78","6.56","-3.70","-1.14","0.08","-23.78","","42.9%","81.6%","58.8%","63.3%","85.0%","75.7%","41.2%","56.3%","14.3%","-0.5","33.6%","","5.0%","0.8%","","14.3%","22.7%","11.8%","1.7%","","10.1%","","","","93.6","","86.5","87.6","","93.9","83.5","77.5","82.4","","85.3","","","-2.2","","1.4","-1.7","","-9.0","1.6","0.3","2.1","","-0.6","","","8.5","","1.5","3.9","","5.8","1.0","-5.2","-6.0","","5.5","","","2.7","","-0.1","-0.2","","2.2","1.0","0.4","-0.1","","0.0","","","6.82","","-2.39","-23.66","","13.05","3.69","3.11","-4.48","","0.07","","","36.1%","82.8%","58.8%","54.5%","85.4%","75.7%","48.7%","29.7","-0.3","-0.4","-0.1","33 - 33","5.3","0.1","0.0","39.1%","39.1%","21.7%","13.0%","43.5%","43.5%","37.5%","10.1%","","12.6%","32.8%","4.2%","0.8%","","","15.1%","24.4%","","85.3","","79.0","93.9","88.0","88.0","","","93.5","82.8","","-0.6","","0.1","-1.9","1.7","-1.4","","","-8.3","2.2","","4.0","","-7.5","8.0","1.6","3.0","","","3.9","0.0","","0.0","","-0.7","2.7","-0.2","-0.2","","","2.3","2.1","","0.07","","-4.76","6.90","-4.33","-23.66","","","12.52","7.34","","36.1%","82.8%","58.8%","54.5%","85.4%","75.7%","48.7%","29.7","","149","102","70","134","220","324","107","104","71","131","266","97","111","88","80","86","132","88.4","13.4","5","21.7%","106.2","12","52.2%","23","8.4%","22.7%","","","","0.6","","","","","","","","","","","","","","","","","0.0","9256","572041"
"Pablo Reyes","MIL","11","18","1","3","1","2","16.7%","11.1%",".267",".500",".467",".556",".733",".531","","236","0.4","3.6","0.1","0.4","27","11","15","18","7","5","1","0","1","3","1","3","1","2","0","0","0","0","2","0",".467","3","6","4","0","74","33","41","1","0","0","16.7%","11.1%","1.50",".556",".733","1.289",".267",".500","0.50","30.8%","23.1%","46.2%","0.0%","16.7%","33.3%","0.0%",".531","3.2","5","3.1","0.1","0.6","0.0","4.3","0.4","$3.4","5.0","236","-0.18","-0.48","0.31","1.72","0.17","1.34","3.26","5","0.39","-0.52","63.5%","92.9","18.9%","85.9","6.8%","91.8","1.4%","83.0","9.5%","84.9","","","","","1.4%","","1.4","0.6","0.0","0.1","1.1","","","3.02","4.02","0.11","5.00","15.73","","","22.9%","57.7%","35.1%","81.8%","86.7%","84.6%","35.1%","50.0%","5.4%","0.4","21.6%","","8.1%","","","41.9%","17.6%","1.4%","","","9.5%","","","","94.3","","90.7","","","92.0","85.8","83.4","","","84.8","","","-1.2","","0.4","","","1.2","2.2","0.0","","","7.9","","","10.3","","3.5","","","4.0","1.8","2.3","","","4.3","","","-0.7","","0.6","","","2.1","0.0","0.0","","","1.1","","","-4.33","","9.52","","","6.79","0.03","4.97","","","15.94","","","20.9%","54.8%","35.1%","77.8%","88.2%","84.6%","41.9%","22.6","0.1","0.4","0.1","27 - 27","3.6","0.0","0.0","46.2%","30.8%","23.1%","30.8%","38.5%","30.8%","33.3%","9.5%","","1.4%","24.3%","5.4%","","","","40.5%","18.9%","","84.8","","83.6","94.2","90.8","","","","92.0","85.8","","7.6","","-0.6","-1.0","1.6","","","","1.6","2.6","","3.0","","0.5","8.8","2.2","","","","2.7","0.4","","1.1","","0.0","-0.7","0.0","","","","2.1","0.6","","15.94","","4.97","-3.86","-0.88","","","","7.15","4.07","","23.1%","48.6%","35.1%","77.8%","88.2%","84.6%","47.3%","22.6","","187","181","50","170","174","156","170","147","54","127","122","115","88","94","188","76","94","88.5","17.4","0","0.0%","102.7","5","38.5%","13","20.3%","25.7%","","","","0.4","","","","","","","","","","","","","","","","","0.0","16357","622569"
"William Contreras","ATL","3","10","0","2","0","0","20.0%","10.0%",".125",".571",".500",".600",".625",".526","","231","-0.1","1.6","-0.1","0.2","23","3","8","10","4","3","1","0","0","2","0","2","0","1","0","0","0","0","0","0",".500","2","2","3","0","46","20","26","1","0","0","20.0%","10.0%","2.00",".600",".625","1.225",".125",".571","1.00","42.9%","28.6%","28.6%","0.0%","0.0%","50.0%","0.0%",".526","1.8","3","1.7","-0.3","0.3","0.2","1.8","0.2","$1.5","1.6","231","-0.02","-0.07","0.05","0.93","0.09","0.38","0.12","1","0.12","-0.18","58.7%","92.2","28.3%","82.0","4.3%","91.0","4.3%","82.5","4.3%","77.5","","","","","","","0.8","0.9","0.0","-0.1","0.2","","","3.01","7.05","-0.26","-4.38","8.64","","","23.3%","75.0%","41.3%","57.1%","91.7%","78.9%","34.8%","60.0%","8.7%","-0.1","43.5%","","4.3%","","","15.2%","28.3%","4.3%","","","4.3%","","","","91.8","","90.8","","","93.1","82.0","82.3","","","77.3","","","-3.3","","-3.2","","","-9.1","-0.5","5.2","","","-8.3","","","10.3","","4.5","","","5.0","1.8","-4.5","","","8.9","","","0.4","","0.0","","","0.4","0.9","-0.1","","","0.2","","","2.19","","-0.26","","","5.26","7.01","-4.37","","","8.56","","","9.5%","68.0%","41.3%","0.0%","88.2%","78.9%","54.3%","22.3","-0.1","0.0","0.0","23 - 23","1.6","0.0","0.0","57.1%","42.9%","0.0%","0.0%","71.4%","28.6%","30.0%","4.3%","","4.3%","37.0%","4.3%","","","","21.7%","28.3%","","77.4","","82.4","91.9","91.0","","","","92.9","82.2","","-7.7","","5.8","-2.6","-2.7","","","","-8.2","-0.6","","7.1","","-5.9","9.2","3.2","","","","5.1","0.4","","0.2","","-0.1","0.1","0.0","","","","0.7","0.9","","8.56","","-4.37","0.75","-0.26","","","","6.78","7.01","","9.5%","68.0%","41.3%","0.0%","88.2%","78.9%","54.3%","22.3","-0.3","201","218","45","184","149","73","194","205","67","79","0","142","122","0","0","141","87","95.1","21.9","0","0.0%","108.8","3","42.9%","7","15.2%","23.9%","","","","0.2","","","","","","","","","","","","","","","","","0.0","20503","661388"
"Luke Maile","MIL","7","12","0","5","2","0","8.3%","8.3%",".273",".500",".455",".500",".727",".515","","225","0.1","2.0","0.2","0.3","30","7","11","12","5","2","3","0","0","5","2","1","0","1","0","0","0","1","0","0",".455","6","2","2","0","36","12","24","0","0","0","8.3%","8.3%","1.00",".500",".727","1.227",".273",".500","3.00","20.0%","60.0%","20.0%","0.0%","0.0%","0.0%","0.0%",".515","2.0","3","1.9","0.0","0.4","0.2","2.6","0.3","$2.1","2.6","225","0.07","-0.17","0.24","2.59","0.26","1.03","1.25","1","0.12","-0.05","63.9%","92.3","25.0%","79.8","","","2.8%","75.0","5.6%","86.0","2.8%","81.0","","","","","0.1","-0.2","","0.0","0.8","0.7","","0.44","-1.77","","3.61","39.21","74.66","","36.4%","57.1%","44.4%","62.5%","100.0%","81.3%","38.9%","58.3%","8.3%","0.1","36.1%","","","","","27.8%","25.0%","2.8%","","","8.3%","","","","92.6","","","","","92.0","79.7","75.3","","","84.4","","","-3.5","","","","","-8.5","4.7","2.8","","","-0.7","","","8.0","","","","","3.9","0.9","-6.7","","","1.7","","","0.4","","","","","-0.4","-0.2","0.0","","","1.6","","","3.29","","","","","-3.74","-1.76","3.58","","","53.04","","","28.6%","54.5%","44.4%","50.0%","91.7%","81.3%","61.1%","18.2","0.2","0.0","0.1","30 - 30","2.0","0.0","0.0","40.0%","40.0%","20.0%","20.0%","40.0%","40.0%","16.7%","8.3%","","16.7%","33.3%","","","","","30.6%","11.1%","","84.2","","82.1","93.4","","","","","91.2","74.4","","-1.0","","4.0","-3.3","","","","","-7.1","7.3","","0.7","","-3.5","8.6","","","","","1.9","3.7","","1.6","","-0.1","0.6","","","","","-0.5","-0.1","","53.04","","-0.97","5.02","","","","","-4.99","-1.61","","26.7%","57.1%","44.4%","50.0%","91.7%","81.3%","58.3%","18.2","0.0","183","91","37","153","173","159","170","96","141","55","0","99","114","81","122","79","122","82.2","9.0","1","10.0%","104.4","3","30.0%","10","22.2%","30.6%","","","","0.3","","","","","","","","","","","","","","","","","0.0","13355","571912"
"Cam Gallagher","KCR","6","12","0","2","2","0","0.0%","8.3%",".091",".600",".545",".545",".636",".512","","229","0.0","1.9","0.5","0.3","28","6","11","12","6","5","1","0","0","2","2","0","0","1","0","0","1","0","0","0",".545","1","3","6","1","48","15","33","0","1","0","0.0%","8.3%","0.00",".545",".636","1.182",".091",".600","0.33","60.0%","10.0%","30.0%","33.3%","0.0%","0.0%","0.0%",".512","2.0","3","1.9","0.2","0.4","0.3","2.8","0.3","$2.2","1.6","229","0.12","-0.09","0.20","1.98","0.19","0.74","","0","0.18","-0.02","50.0%","94.2","35.4%","87.1","4.2%","92.0","2.1%","82.0","8.3%","84.8","","","","","","","1.3","0.1","0.5","0.1","-0.4","","","5.58","0.56","23.43","9.27","-10.08","","","30.4%","76.0%","54.2%","71.4%","100.0%","92.3%","52.1%","41.7%","4.2%","0.0","35.4%","","10.4%","","","8.3%","31.3%","","6.3%","","8.3%","","","","93.3","","97.0","","","92.8","87.8","","81.6","","84.7","","","-2.0","","1.1","","","1.5","1.1","","1.9","","8.1","","","9.6","","5.7","","","8.3","2.3","","0.9","","7.1","","","1.7","","0.5","","","-0.3","0.1","","0.1","","-0.4","","","9.91","","9.34","","","-6.78","0.59","","1.69","","-11.21","","","26.3%","72.4%","54.2%","60.0%","100.0%","92.3%","60.4%","22.7","0.5","0.0","0.0","28 - 28","1.9","0.0","0.0","27.3%","45.5%","27.3%","27.3%","54.5%","18.2%","8.3%","8.3%","","2.1%","43.8%","4.2%","","","","6.3%","35.4%","","84.8","","81.6","94.3","92.2","","","","93.4","87.2","","7.2","","1.9","-0.9","-0.8","","","","-1.6","1.0","","5.7","","-4.8","8.1","3.1","","","","6.0","1.2","","-0.4","","0.1","1.6","0.5","","","","-0.2","0.0","","-11.21","","9.18","7.74","23.28","","","","-7.06","0.28","","23.5%","71.0%","54.2%","50.0%","100.0%","92.3%","64.6%","22.7","0.3","222","0","36","172","153","54","206","292","24","81","0","68","131","109","167","106","57","87.2","19.6","0","0.0%","104.1","5","45.5%","11","14.6%","18.8%","","","","0.3","","","","","","","","","","","","","","","","","0.0","12981","595956"
"Juan Soto","WSN","28","131","7","22","23","2","26.7%","6.9%",".287",".392",".404",".565",".691",".511","","222","-0.5","19.9","-0.3","2.4","22","28","94","131","38","26","4","1","7","22","23","35","8","9","1","1","0","2","2","1",".404","43","28","15","2","491","229","262","5","0","0","26.7%","6.9%","3.89",".565",".691","1.256",".287",".392","1.54","17.4%","50.0%","32.6%","7.1%","25.0%","11.6%","0.0%",".511","21.3","37","20.3","1.1","4.1","-1.3","24.0","2.4","$19.2","4.0","222","1.55","-1.65","3.20","23.93","2.46","1.07","","0","2.58","-1.13","50.3%","94.3","20.6%","84.0","4.3%","90.1","7.3%","80.3","14.5%","87.7","3.1%","88.2","","","6.3%","","15.1","3.9","-0.1","2.7","1.7","-0.9","","6.10","3.88","-0.66","7.55","2.40","-5.80","","13.7%","64.0%","34.2%","67.5%","86.7%","82.1%","40.7%","43.5%","6.1%","-0.5","36.5%","","4.3%","3.3%","","14.5%","16.3%","8.4%","1.0%","","14.1%","","","","94.6","","90.5","88.0","","93.2","85.7","80.1","82.4","","87.6","","","-2.6","","-1.1","-5.8","","-4.1","0.1","2.3","3.0","","-6.7","","","8.7","","4.0","3.1","","4.4","1.5","-4.0","-3.0","","3.0","","","8.5","","0.5","-1.0","","4.6","3.7","1.6","1.1","","1.7","","","4.73","","2.37","-6.08","","6.45","4.64","3.83","21.68","","2.46","","","9.8%","59.2%","34.4%","41.7%","87.6%","81.1%","49.9%","25.5","-0.3","-0.2","0.1","22 - 22","19.9","0.3","-0.4","36.0%","40.7%","23.3%","15.1%","43.0%","41.9%","38.9%","14.5%","","7.9%","36.5%","4.7%","3.1%","","","13.6%","19.8%","","87.7","","76.8","94.6","90.4","88.2","","","93.3","85.4","","-6.5","","-1.3","-2.5","0.1","-5.5","","","-4.3","0.0","","1.8","","-6.2","7.8","3.5","2.0","","","3.4","0.0","","1.7","","3.1","8.3","0.1","-0.9","","","4.7","3.4","","2.37","","7.85","4.64","0.32","-6.29","","","6.97","3.46","","10.9%","56.7%","34.4%","46.2%","87.4%","81.1%","51.3%","25.5","","162","291","31","173","165","168","133","83","117","89","183","90","116","94","92","85","127","93.8","7.6","10","11.6%","116.5","42","48.8%","86","19.1%","25.3%","","","","2.3","","","","","","","","","","","","","","","","","0.0","20123","665742"
"Eugenio Suarez","CIN","22","74","7","13","11","0","13.5%","27.0%",".435",".417",".355",".446",".790",".501","","210","-0.5","9.9","-0.6","1.2","29","22","62","74","22","9","6","0","7","13","11","10","0","20","1","1","0","2","0","0",".355","11","23","9","2","323","132","191","0","0","0","13.5%","27.0%","0.50",".446",".790","1.236",".435",".417","0.48","20.9%","25.6%","53.5%","8.7%","30.4%","0.0%","0.0%",".501","11.4","20","10.4","-1.0","2.3","0.4","11.7","1.2","$9.4","1.0","210","0.70","-1.14","1.85","5.69","0.55","1.01","1.18","4","1.06","-0.37","48.6%","93.0","26.0%","83.4","7.7%","89.1","10.2%","79.1","5.3%","85.7","2.2%","85.3","","","","","6.3","-0.9","0.6","0.4","2.3","1.7","","4.03","-1.10","2.47","1.18","13.45","24.21","","22.6%","62.4%","39.0%","51.2%","88.0%","75.4%","41.2%","71.6%","9.6%","-0.5","37.5%","","7.4%","0.9%","","11.8%","26.6%","9.0%","0.3%","","6.5%","","","","93.0","","89.1","83.8","","92.5","83.4","78.1","78.5","","85.9","","","-0.1","","0.8","7.6","","0.8","0.8","1.1","5.8","","-0.1","","","9.5","","6.0","2.8","","6.1","-0.1","-5.0","-9.1","","5.2","","","4.4","","1.0","1.0","","1.4","-1.0","0.7","0.0","","3.0","","","3.65","","4.14","32.43","","3.60","-1.16","2.25","2.18","","14.25","","","18.0%","57.2%","39.0%","40.7%","83.8%","74.6%","53.6%","22.2","-0.6","-0.1","-0.4","29 - 29","9.9","0.2","0.0","32.6%","37.2%","30.2%","14.0%","55.8%","30.2%","50.0%","6.5%","","9.3%","38.4%","8.0%","0.9%","","","10.2%","26.6%","","86.0","","79.5","93.3","88.4","83.8","","","92.0","83.2","","0.0","","-0.3","-0.5","1.2","6.9","","","2.7","1.5","","4.0","","-6.9","8.6","4.6","1.3","","","4.6","-1.3","","3.0","","0.7","5.7","0.5","1.0","","","0.6","-1.1","","14.25","","2.49","4.63","1.85","32.43","","","1.84","-1.30","","21.8%","55.1%","39.0%","35.3%","89.1%","74.6%","51.7%","22.2","","143","147","121","137","188","254","141","100","60","147","222","81","106","123","85","110","92","91.9","20.6","7","16.3%","111.9","20","46.5%","43","20.1%","29.7%","","","","1.3","","","","","","","","","","","","","","","","","0.0","12552","553993"
"Stephen Vogt","ATL","3","10","2","2","2","0","0.0%","10.0%",".600",".143",".300",".300",".900",".489","","207","0.1","1.4","0.2","0.2","36","3","10","10","3","1","0","0","2","2","2","0","0","1","0","0","0","0","0","0",".300","3","5","1","0","44","16","28","0","0","0","0.0%","10.0%","0.00",".300",".900","1.200",".600",".143","0.60","11.1%","33.3%","55.6%","0.0%","40.0%","0.0%","0.0%",".489","1.4","3","1.4","0.0","0.3","0.2","2.0","0.2","$1.6","0.1","207","0.11","-0.19","0.30","0.68","0.08","1.00","","0","0.16","-0.05","54.5%","94.4","27.3%","83.5","4.5%","88.5","2.3%","84.0","11.4%","87.6","","","","","","","0.5","-0.2","1.4","0.0","-0.2","","","1.95","-1.34","70.38","0.00","-3.42","","","28.0%","68.4%","45.5%","100.0%","76.9%","85.0%","43.2%","70.0%","6.8%","0.1","38.6%","","6.8%","","","15.9%","9.1%","13.6%","4.5%","","11.4%","","","","94.7","","88.5","","","93.4","85.5","80.9","84.8","","87.5","","","-3.6","","1.5","","","-6.1","1.0","6.9","1.6","","-7.2","","","6.5","","2.2","","","4.9","2.3","-1.3","-0.1","","2.1","","","0.8","","1.4","","","-0.3","-0.2","0.0","0.0","","-0.2","","","4.59","","47.62","","","-4.40","-5.31","0.13","1.09","","-3.41","","","19.0%","69.6%","45.5%","100.0%","81.3%","85.0%","52.3%","21.1","0.2","0.0","0.0","36 - 36","1.4","0.0","0.0","22.2%","44.4%","33.3%","22.2%","22.2%","55.6%","30.0%","11.4%","","2.3%","25.0%","4.5%","","","","29.5%","27.3%","","87.8","","84.3","96.2","88.9","","","","93.3","83.7","","-7.1","","2.7","-3.9","2.3","","","","-4.4","4.0","","1.9","","-1.2","7.0","1.2","","","","4.3","-0.1","","-0.2","","0.0","-0.3","1.4","","","","0.8","-0.2","","-3.41","","0.00","-3.08","70.34","","","","6.24","-1.34","","19.0%","69.6%","45.5%","100.0%","81.3%","85.0%","52.3%","21.1","0.0","121","0","45","92","214","350","49","53","78","153","292","55","127","135","136","44","169","86.4","23.7","1","11.1%","106.2","4","44.4%","9","18.2%","25.0%","","","","0.2","","","","","","","","","","","","","","","","","0.0","5000","519390"
