mlbamid,"steamerid","proj_season","firstname","lastname","Team",BasicPF,"position","bats",p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,BaseRunning,UZR,R,RBI,BABIP,wRAA,wRC,wRAA_adj,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,WAR,WAR/PA,frWAR
542194,"10028","2019","Christian","Bethancourt","FA",1,"C","R",0.037,0.045,0.031,0.031,0.065,0.222,0.222,0.160,0.188,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016667,27.00,0.71,0.2,1.00,0.0000,0.0460,0.0460,0.2365,0.0060,0.0092,0.0058,0.0074,0.9348,0.2232,0.1462,0.0451,0.0019,0.0300,0.238714,0.276748,0.387287,0.286490,0.356260,0.0101,0.0042,0.0001,0.000,0.0001,0.000,0.0980,0.1137,0.28592571,-0.023,0.097,0.000,-0.023,0.032,0.016666666666666666,-0.0051,0.00265,0.0026500,0.00213
572008,"10030","2019","Chris","Owings","KCA",1.0142649412155151,"3B","R",0.039,0.150,0.015,0.032,0.186,0.147,0.185,0.072,0.174,0.0,0.0,13.8,42.7,8.8,0.0,3.8,3.8,0.0,0.0,0.0,1.256414,27.00,0.81,72.872018204616,300.30,2.1020,15.4239,17.5260,63.5954,2.4020,2.7628,1.6599,2.2435,276.4682,69.7429,46.4193,16.7824,1.4504,5.0908,0.252262,0.300264,0.378703,0.292634,0.349530,9.0739,3.0895,0.4803,0.312,0.7923,-0.231,30.2898,29.0288,0.30782976,-5.478,30.494,-0.513,-5.992,9.709,1.256414106976138,0.0000,0.56977,0.0018973,0.56977
571976,"10047","2019","Wil","Myers","SDN",0.9690527319908142,"LF","R",0.011,0.275,0.167,0.217,0.315,0.003,0.003,0.004,0.005,0.0,7.8,0.0,0.0,0.0,117.5,9.4,3.1,0.0,0.0,0.0,-6.525012,28.00,0.84,137.81339999999997,600.70,1.8020,59.4693,61.2714,159.1283,4.2050,5.5264,2.0361,4.4971,528.6905,127.0460,74.0049,27.9470,1.9266,23.1675,0.240290,0.321575,0.431896,0.325237,0.406050,16.8856,6.0256,0.7595,1.153,1.9125,0.463,73.2119,73.0955,0.29604140,5.016,76.973,2.227,7.243,19.422,-6.525011699999999,0.0000,2.31784,0.0038586,2.31784
502205,"10053","2019","Grant","Green","FA",1,"2b","R",0.061,0.116,0.030,0.030,0.030,0.098,0.354,0.232,0.049,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,31.00,0.71,0.2,1.00,0.0010,0.0490,0.0500,0.2326,0.0060,0.0092,0.0061,0.0074,0.9305,0.2240,0.1639,0.0454,0.0035,0.0112,0.240785,0.281764,0.333199,0.269190,0.328360,0.0082,0.0042,-0.0003,0.000,-0.0003,-0.006,0.0847,0.0871,0.30658407,-0.037,0.082,0.000,-0.037,0.032,0.0033333333333333335,0.0000,-0.00082,-0.0008200,-0.00082
545358,"10059","2019","Max","Stassi","HOU",0.9594763517379761,"C","R",0.008,0.002,0.005,0.002,0.002,0.014,0.043,0.305,0.619,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.180950,28.00,0.75,50.17139999999999,191.80,0.0000,17.0545,17.0545,55.2244,2.6850,1.7646,1.5178,1.5009,169.0416,36.5406,22.7236,7.5229,0.3344,5.9598,0.216177,0.295785,0.370413,0.292792,0.369110,1.0596,0.3999,-0.0018,-0.073,-0.0748,-1.083,21.3882,21.0862,0.27963858,-3.474,19.501,0.931,-2.543,6.201,4.180949999999999,8.4642,0.68779,0.0035860,1.55913
542513,"10067","2019","Tomas","Telis","MIN",1.0213066339492798,"C","B",0.017,0.030,0.017,0.017,0.055,0.075,0.218,0.097,0.475,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016667,28.00,0.78,0.2,1.00,0.0080,0.0474,0.0554,0.1367,0.0090,0.0092,0.0067,0.0076,0.9213,0.2459,0.1857,0.0397,0.0069,0.0136,0.266991,0.312462,0.369409,0.295041,0.320570,0.0093,0.0036,0.0001,0.001,0.0011,-0.002,0.1032,0.0974,0.29835602,-0.016,0.104,-0.003,-0.019,0.032,0.016666666666666666,-0.0063,0.00296,0.0029600,0.00231
542340,"10071","2019","Jonathan","Villar","BAL",1.0047664642333984,"2B","B",0.367,0.126,0.069,0.004,0.012,0.156,0.115,0.024,0.128,0.0,0.0,64.9,0.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,2.610972,28.00,0.85,95.46365457885598,412.20,0.4120,35.8549,36.2671,107.7004,2.4730,3.7922,2.8562,2.8505,367.7529,92.0276,63.4498,16.6998,1.1277,10.7503,0.250250,0.319464,0.389498,0.310071,0.385590,22.1278,6.9113,1.4905,0.074,1.5645,-5.722,47.9419,40.1022,0.32233365,-1.657,47.720,-0.235,-1.893,13.327,2.610971749165292,0.0000,1.01786,0.0024693,1.01786
545361,"10155","2019","Mike","Trout","LAA",0.9669469594955444,"CF","R",0.028,0.615,0.327,0.020,0.005,0.001,0.002,0.003,0.000,0.0,0.0,0.0,0.0,0.0,0.0,132.4,0.0,0.0,0.0,0.0,2.205900,27.00,0.86,132.35399999999998,595.00,19.0400,93.2319,112.2719,117.6621,8.9250,5.4740,2.8122,4.3310,466.6599,140.0191,74.5307,26.6157,3.2525,35.6202,0.300040,0.441099,0.600001,0.430966,0.505030,18.3321,6.0133,1.0070,2.196,3.2030,-0.438,106.8381,95.5387,0.32859954,56.280,127.555,2.356,58.636,19.238,2.2058999999999997,0.0000,8.52840,0.0143334,8.52840
545338,"10166","2019","Nick","Franklin","PIT",0.9784423112869263,"2b","B",0.052,0.047,0.013,0.024,0.068,0.171,0.168,0.155,0.303,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003333,28.00,0.69,0.2,1.00,0.0020,0.0789,0.0809,0.1974,0.0100,0.0092,0.0063,0.0075,0.8953,0.2214,0.1486,0.0440,0.0052,0.0236,0.247179,0.314154,0.386876,0.305801,0.346210,0.0201,0.0075,0.0007,0.001,0.0017,-0.004,0.1030,0.1061,0.29011440,-0.008,0.112,0.003,-0.005,0.032,0.0033333333333333335,0.0000,0.00289,0.0028900,0.00289
571740,"10199","2019","Billy","Hamilton","KCA",1.0142649412155151,"CF","B",0.531,0.009,0.001,0.001,0.001,0.003,0.007,0.182,0.266,0.0,0.0,0.0,0.0,0.0,0.0,128.8,0.0,0.0,0.0,0.0,2.147040,28.00,0.85,128.8224,549.20,0.0000,42.3117,42.3117,114.5701,2.1970,5.0526,4.8744,3.8393,495.9778,119.6804,87.8687,18.7428,8.2152,4.8538,0.241300,0.301636,0.341579,0.283461,0.323850,36.4027,9.9112,3.0878,3.043,6.1308,5.106,59.5082,41.3432,0.30186291,-14.128,51.660,-0.938,-15.067,17.757,2.14704,0.0000,1.65471,0.0030129,1.65471
