mlbamid,"steamerid","proj_season","firstname","lastname","Team",BasicPF,"position","bats",p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,BaseRunning,UZR,R,RBI,BABIP,wRAA,wRC,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,WAR,WAR/PA,frWAR
570717,"11165","2020","Ramon","Flores","MIN",1.011,"OF","L",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.012,28.00,0.72,0.25,1,0.0030,0.1013,0.1043,0.2048,0.0070,0.0092,0.0063,0.0075,0.8749,0.2152,0.1534,0.0366,0.0054,0.0198,0.245877,0.328512,0.367843,0.302320,0.335130,0.0135,0.0054,0.0000,0.000,0.0000,-0.002,0.1144,0.1024,0.29705078,-0.015,0.111,-0.017,0.032,-0.0123,0.0000,0.00007,0.0000700,0.00007
605125,"11997","2020","Cody","Asche","MIN",1.011,"3B","L",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-0.029,30.00,0.73,0.25,1,0.0020,0.0904,0.0924,0.2876,0.0090,0.0092,0.0063,0.0075,0.8848,0.1895,0.1204,0.0394,0.0044,0.0253,0.214165,0.292741,0.354359,0.279649,0.349100,0.0105,0.0045,-0.0001,0.000,-0.0001,0.000,0.1093,0.1038,0.28339662,-0.035,0.091,-0.036,0.032,-0.0288,0.0000,-0.00320,-0.0032000,-0.00320
596146,"12144","2020","Max","Kepler","MIN",1.011,"RF","L",0.821,0.009,0.010,0.004,0.035,0.053,0.046,0.014,0.008,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.2,0.0,0.0,0.0,-2.241,27.00,0.86,50.21,228.508961250589,0.2285,23.6108,23.8393,38.6355,2.5136,2.1023,1.9945,1.4678,198.6938,51.8076,28.0732,12.1027,0.5470,11.0847,0.260744,0.345060,0.494532,0.351737,0.384190,2.2813,0.9409,-0.0181,0.564,0.5459,2.085,35.2715,29.9555,0.27068945,6.268,35.145,5.954,7.395,-2.2413,0.0000,1.33436,0.0058394,1.33436
592696,"12155","2020","Eddie","Rosario","MIN",1.011,"LF","L",0.001,0.064,0.030,0.191,0.696,0.001,0.004,0.006,0.006,0.0,0.0,0.0,0.0,0.0,46.2,0.0,3.0,0.0,0.0,0.0,-2.459,28.00,0.86,49.18,208.93560500147,0.8357,9.7563,10.5920,34.4169,0.6268,1.9222,0.5985,1.6420,195.4763,55.6461,33.6411,11.2098,0.6025,10.1927,0.284676,0.320952,0.504624,0.341151,0.394920,1.6105,0.7754,-0.0680,0.825,0.7570,-0.342,28.3199,33.9568,0.29803808,3.820,30.223,3.532,6.761,-2.4591,0.0000,0.80118,0.0038346,0.80118
595909,"14477","2020","Jake","Cave","MIN",1.011,"CF","L",0.026,0.035,0.072,0.011,0.053,0.160,0.188,0.217,0.238,0.0,0.0,0.0,0.0,0.0,3.5,6.9,2.8,0.0,0.0,0.0,-0.196,27.00,0.81,13.18,52.7981750618106,0.1056,3.6194,3.7250,15.1881,0.6336,0.4857,0.3203,0.3990,47.7202,12.2690,7.8181,2.4305,0.3874,1.6330,0.257116,0.316862,0.426953,0.314549,0.415600,0.4261,0.1817,-0.0083,0.067,0.0587,-0.247,6.3198,6.5348,0.33982894,-0.249,6.423,-0.321,1.709,-0.1965,0.0000,0.09744,0.0018455,0.09744
664774,"18126","2020","LaMonte","Wade","MIN",1.011,"CF","L",0.097,0.028,0.042,0.014,0.042,0.111,0.181,0.222,0.264,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.036,26.00,0.78,2.14,8.61056065745427,0.0086,0.9325,0.9411,1.4763,0.1033,0.0792,0.0575,0.0646,7.4441,1.9129,1.3654,0.3256,0.0466,0.1752,0.256967,0.345758,0.383861,0.317532,0.334360,0.1187,0.0480,0.0000,0.009,0.0090,-0.106,1.0257,0.9006,0.29667759,-0.018,1.070,-0.030,0.279,0.0357,0.0000,0.01823,0.0021172,0.01823
541600,"10416","2020","Wilfredo","Tovar","MIN",1.011,"SS","R",0.085,0.024,0.012,0.012,0.037,0.049,0.061,0.439,0.280,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,28.00,0.80,1.52,6.02082932491173,0.0000,0.3111,0.3111,0.9677,0.0301,0.0554,0.0451,0.0464,5.5882,1.4773,1.0959,0.2835,0.0338,0.0642,0.264377,0.304320,0.361662,0.286310,0.319150,0.0960,0.0427,-0.0011,0.006,0.0049,0.033,0.6337,0.5885,0.30701545,-0.175,0.586,-0.184,0.195,0.0591,0.0000,0.01049,0.0017423,0.01049
593934,"12164","2020","Miguel","Sano","MIN",1.011,"1B","R",0.002,0.007,0.040,0.024,0.077,0.018,0.049,0.775,0.007,0.0,42.8,0.0,1.2,0.0,0.0,0.0,0.0,1.8,0.0,0.0,-3.752,27.00,0.82,45.74,180.45641417615,0.1805,20.7972,20.9776,61.9743,1.2632,1.6602,1.2766,1.4470,155.4920,38.6368,19.2614,7.4231,0.5642,11.3880,0.248478,0.339755,0.523185,0.357568,0.521240,0.4448,0.2026,-0.0488,-0.359,-0.4078,-0.030,26.2401,29.5963,0.32603345,5.859,28.664,5.611,5.840,-3.7524,0.0000,0.70521,0.0039079,0.70521
596117,"18067","2020","Garrett","Stubbs","HOU",0.954,"C","L",0.121,0.138,0.052,0.017,0.017,0.172,0.086,0.241,0.155,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,27.00,0.74,11.93,49.2836425758613,0.0493,4.0475,4.0968,9.9919,0.4928,0.4534,0.3222,0.3628,44.0091,10.1362,6.8897,2.1295,0.1899,0.9271,0.230325,0.300767,0.350541,0.282585,0.313790,1.0275,0.3686,0.0314,0.059,0.0904,-0.016,5.4388,4.8130,0.27528555,-1.594,4.634,-1.307,1.595,0.9945,-0.4360,0.13179,0.0026741,0.08944
543807,"12856","2020","George","Springer","HOU",0.954,"CF","R",0.979,0.001,0.001,0.002,0.002,0.001,0.002,0.004,0.008,0.0,0.0,0.0,0.0,0.0,0.0,45.9,4.0,2.3,0.0,0.0,0.297,30.00,0.87,52.24,242.127571960858,0.2421,27.2236,27.4657,48.4901,2.9055,2.2276,2.3183,1.5091,207.9290,56.9274,33.6263,9.9975,0.8677,12.4359,0.273773,0.364025,0.509625,0.366268,0.419430,2.8722,1.1675,-0.0099,0.337,0.3271,-0.624,39.2857,31.7463,0.29958165,9.683,40.281,11.092,7.835,0.2966,0.0000,1.83826,0.0075921,1.83826
