mlbamid,steamerid,proj_season,firstname,lastname,Team,BasicPF,position,bats,p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,wGDP,BaseRunning,UZR,R,RBI,BABIP,wRAA,wRC,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,WAR,WAR/PA,frWAR
571970,13301,2021,Max,Muncy,LAN,0.957,1B,L,0.040,0.294,0.067,0.129,0.242,0.131,0.040,0.017,0.040,0.0,124.7,1.6,3.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-10.552,30.00,0.83,131.64,566.3881644840001,2.8319,86.8273,89.6592,143.9820,6.7967,5.2108,2.5025,4.1671,463.2627,109.2929,63.0136,18.2949,0.8418,27.1426,0.235912,0.364871,0.454807,0.354607,0.417550,2.9972,1.2845,-0.1473,0.187,1.110,1.1497,2.057,80.6317,76.2975,0.277248931170,16.541,87.802,19.584,19.227,-10.5521,0.0000,3.06026,0.0054031,3.06026
592808,13414,2021,Andrew,Toles,LAN,0.957,OF,L,0.100,0.100,0.050,0.050,0.050,0.100,0.250,0.300,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.004,29.00,0.51,0.24,1,0.0020,0.0537,0.0557,0.2673,0.0110,0.0092,0.0061,0.0074,0.9198,0.2228,0.1471,0.0463,0.0031,0.0263,0.242241,0.291283,0.385126,0.292008,0.374110,0.0107,0.0049,-0.0002,0.001,0.001,0.0018,-0.011,0.1060,0.1122,0.310132575758,-0.024,0.102,-0.018,0.034,0.0040,0.0000,0.00105,0.0010500,0.00105
608369,13624,2021,Corey,Seager,LAN,0.957,SS,L,0.008,0.395,0.065,0.029,0.234,0.132,0.072,0.018,0.047,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,7.452,27.00,0.80,149.04,640.7825519215194,1.2816,60.6821,61.9637,107.8832,6.4078,5.8952,3.1151,4.7582,564.5378,167.2225,96.5695,36.1313,1.6954,32.8263,0.296209,0.369460,0.540663,0.384496,0.432730,3.7124,1.5835,-0.1427,1.051,0.333,1.2413,-3.096,98.5086,100.9363,0.313580105766,34.876,115.497,38.318,21.752,7.4520,0.0000,6.38663,0.0099669,6.38663
641319,15197,2021,Carlos,Asuaje,LAN,0.957,2B,L,0.100,0.100,0.050,0.050,0.050,0.100,0.250,0.300,0.000,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,29.00,0.72,0.24,1,0.0020,0.0908,0.0928,0.2128,0.0120,0.0092,0.0061,0.0074,0.8817,0.2051,0.1465,0.0404,0.0043,0.0138,0.232644,0.311816,0.335377,0.288086,0.319280,0.0082,0.0038,-0.0003,-0.001,0.001,-0.0003,-0.007,0.1004,0.0915,0.288754716981,-0.027,0.099,-0.022,0.034,0.0040,0.0000,0.00085,0.0008500,0.00085
641355,15998,2021,Cody,Bellinger,LAN,0.957,CF,L,0.003,0.021,0.100,0.677,0.065,0.075,0.023,0.013,0.023,0.0,24.2,0.0,0.0,0.0,0.0,122.6,3.2,0.0,0.0,0.0,-0.134,25.00,0.83,150.00,642.3516666666666,10.9200,75.2836,86.2036,117.6014,3.8541,5.9096,1.3113,4.5078,546.4749,151.5076,80.6482,27.6445,3.4594,39.7555,0.277236,0.376825,0.558724,0.388696,0.441850,13.8521,5.0457,0.3838,-0.064,1.073,1.3928,0.395,100.2421,114.2670,0.283904408705,37.238,118.056,40.689,21.805,-0.1344,0.0000,6.23881,0.0097125,6.23881
607461,17710,2021,Matt,Beaty,LAN,0.957,LF,L,0.043,0.058,0.076,0.030,0.074,0.179,0.121,0.181,0.238,0.0,8.1,0.0,0.0,0.0,11.3,0.0,0.0,6.1,0.0,0.0,-1.956,28.00,0.71,25.56,103.53741502558051,0.3106,6.6782,6.9888,17.4016,1.6566,0.9525,0.6087,0.7767,93.5067,24.7097,16.2355,5.0620,0.2934,3.1189,0.264258,0.324062,0.424731,0.322615,0.357820,0.9790,0.3902,-0.0034,-0.042,0.023,-0.0224,-0.322,12.2297,12.9683,0.292705411528,0.228,13.255,0.785,3.515,-1.9564,0.0000,0.19444,0.0018780,0.19444
621458,18316,2021,Edwin,Rios,LAN,0.957,3B,L,0.036,0.017,0.128,0.008,0.008,0.068,0.185,0.231,0.318,0.0,4.9,0.0,16.2,0.0,0.0,0.0,0.0,6.8,0.0,0.0,-0.929,27.00,0.75,27.86,111.12395399999998,0.1111,7.4898,7.6009,40.1824,1.3335,1.0223,0.7103,0.8471,100.6321,22.5738,12.5569,4.3899,0.2463,5.3807,0.224327,0.285371,0.433259,0.306082,0.455840,0.6471,0.2760,-0.0163,-0.084,0.097,-0.0033,-0.599,13.1816,15.4694,0.307480314257,-1.305,12.676,-0.708,3.772,-0.9288,0.0000,0.14909,0.0013417,0.14909
592660,10839,2021,Rangel,Ravelo,LAN,0.957,1B,R,0.012,0.040,0.057,0.077,0.116,0.203,0.067,0.099,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-0.029,29.00,0.72,0.25,1,0.0010,0.0752,0.0762,0.2068,0.0130,0.0092,0.0055,0.0075,0.8978,0.2194,0.1484,0.0416,0.0025,0.0269,0.244410,0.310337,0.386149,0.303679,0.346830,0.0052,0.0022,-0.0002,-0.001,0.001,-0.0002,0.000,0.1103,0.1164,0.286628945801,-0.014,0.112,-0.008,0.034,-0.0290,0.0000,-0.00031,-0.0003100,-0.00031
519303,11155,2021,Elliot,Soto,LAN,0.957,SS,R,0.038,0.077,0.038,0.038,0.038,0.077,0.115,0.154,0.423,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.013,31.00,0.69,0.25,1,0.0000,0.0713,0.0713,0.2322,0.0090,0.0092,0.0067,0.0076,0.9054,0.2061,0.1506,0.0380,0.0056,0.0119,0.227544,0.288258,0.321174,0.270392,0.315200,0.0131,0.0054,0.0000,-0.001,0.001,0.0000,-0.003,0.0962,0.0909,0.290327403199,-0.042,0.084,-0.036,0.034,0.0125,0.0000,0.00073,0.0007300,0.00073
574847,11446,2021,Rob,Segedin,LAN,0.957,3B,R,0.100,0.100,0.050,0.050,0.050,0.100,0.250,0.300,0.000,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020,32.00,0.41,0.24,1,0.0000,0.0645,0.0645,0.2666,0.0110,0.0092,0.0061,0.0074,0.9110,0.2106,0.1360,0.0404,0.0033,0.0309,0.231241,0.287909,0.384584,0.291309,0.366950,0.0094,0.0043,-0.0002,-0.001,0.001,-0.0002,0.003,0.1075,0.1150,0.289418585924,-0.024,0.102,-0.019,0.034,-0.0202,0.0000,-0.00023,-0.0002300,-0.00023
