"steamerid","mlbamid","proj_season","firstname","lastname","IP","G","GS","start_percent","start_IP","relief_IP","SV","LI","League","DBTeamId","FBV","reliability","Throws","age","Krate","BBrate","HBPrate","GBrate","FBrate","LDrate","SIERA","BABIP","TBF","batters_per_IP","ERA","RA","K","BB","IBB","1b","2b","3b","HR","HBP","SH","SF","GB","FB","LD","K9","BB9","HBP9","HR9","H","ER","R","WHIP","W","L","QS","HLD","holds_old","SV_old","HR/FB","FIP","pnFIP","LOB%","ERA-","CG","ShO","WAR","catcherframingruns"
"10021","501985","2019","Mike","Minor","175.3871082352941","29.16","29.16","1","175.3871082352941","0","0","1","AL","TEX","92.8","0.66438","L","31","0.2154","0.0676","0.009293","0.36908994","0.42010229","0.21080776","3.86","0.292043","749.838","4.27533133731836","4.449487809292469","4.750291560097361","161.5151","50.689","1.0783","106.54958","36.49004","3.55032","28.7198","6.9682","4.0491","9.13828","194.3215","221.1789","110.9878","8.288157063687061","2.601109081449558","0.35757360179440917","1.4737582630830162","175.3098","86.7092","92.5711","1.2885713338565725","10.0826","10.4973","14.246","0","0","0","0.12984873","4.4342","4.3408","0.72834833","106.37751645106674","0.1406","0.0639","2.1241","0.7919"
"10029","572119","2019","Patrick","Schuster","1","1","0","0","0","1","0","0.6","FA","FA","87.5","0.39416","L","28","0.1885","0.1035","0.01078","0.45399476","0.34099542","0.20500982","4.28","0.297526","4.431","4.431","4.5027","4.8627","0.8352","0.4586","0.0362","0.66702","0.19466","0.01912","0.1287","0.0478","0.0352","0.04319","1.3865","1.0414","0.6261","7.516800000000001","4.1274","0.4302","1.1583","1.0095","0.5003","0.5403","1.4681000000000002","0.0466","0.0503","0","0","0","0","0.12358364","4.6829","4.6829","0.7303926","107.65658086957042","0","0","-0.0019","0.0017"
"10039","572102","2019","Keyvius","Sampson","1","0.8111754385964912","0.0402","0.2329519","0.229","0.771","0","0.6931808","NL","SFN","93.8369336","0.53668","R","28","0.23583304","0.11283465","0.008388","0.42394096","0.37499548","0.20106356","4.0684073","0.286438158","4.37","4.37","3.9617999999999998","4.2957","1.0307","0.4931","0.0309","0.5761","0.17535","0.02157","0.1112","0.0366","0.0459","0.0432","1.1719","1.0366","0.5558","9.276299999999999","4.4379","0.3294","1.0008","0.8841","0.4402","0.4773","1.3771999999999998","0.0481","0.0543","0.0177","0","0","0","0.10727378","4.1343216","4.3460084000000005","0.74436461","94.72853169514185","0.0003","0.0001","0.002","0.0073"
"10044","572208","2019","Ashur","Tolliver","1","1","0","0","0","1","0","0.6","FA","FA","91","0.36827","L","31","0.1909","0.1234","0.01033","0.43699322","0.35800213","0.20500465","4.56","0.295753","4.509","4.509","4.7412","5.1011999999999995","0.8607","0.5564","0.037","0.64985","0.19228","0.01917","0.1327","0.0466","0.0358","0.04469","1.315","1.0773","0.6169","7.7463","5.0076","0.4194","1.1943000000000001","0.994","0.5268","0.5668","1.5504","0.0455","0.0515","0","0","0","0","0.12317832","4.9737","4.9737","0.73000666","113.35857832402134","0","0","-0.0046","0.0017"
"10058","554431","2019","Tyler","Matzek","1","0.17543859649122806","0.1754","1","1","0","0","1","AL","CHA","91.1","0.27732","L","28","0.1722","0.1455","0.011798","0.44259584","0.35668418","0.20071998","5.19","0.298769","4.632","4.632","5.508","5.8887","0.7976","0.6739","0.0061","0.66182","0.20412","0.01755","0.1485","0.0546","0.025","0.04546","1.3647","1.0998","0.6189","7.1784","6.0651","0.4914","1.3365","1.032","0.612","0.6543","1.7059000000000002","0.0437","0.0765","0.0563","0","0","0","0.13502455","5.6818","5.5863","0.71248229","131.6862565151412","0.0009","0.0004","-0.0012","-0.0045"
"10065","518782","2019","Johnny","Hellweg","1","1","0","0","0","1","0","0.6","NL","PIT",,"0.28571","R","30","0.2064","0.1072","0.012277","0.50418617","0.28209685","0.21371698","3.93","0.307912","4.411","4.411","4.1715","4.545","0.9105","0.4729","0.0367","0.6867","0.18109","0.01795","0.097","0.0542","0.0463","0.03438","1.4754","0.8255","0.6254","8.1945","4.2561","0.4878","0.873","0.9828","0.4635","0.505","1.4557","0.0474","0.0496","0","0","0","0","0.11750454","4.1823","4.26","0.73131504","99.73116302407573","0","0","0.0016","-0.0035"
"10066","571871","2019","Ian","Krol","1","1","0","0","0","1","0","0.6","NL","CIN","92.8","0.54544","L","28","0.221","0.1087","0.011586","0.46711898","0.33209654","0.20078448","3.77","0.297011","4.367","4.367","4.2606","4.605300000000001","0.9651","0.4747","0.0388","0.62114","0.17858","0.01652","0.1283","0.0506","0.0459","0.03915","1.3219","0.9398","0.5682","8.6859","4.2723","0.45539999999999997","1.1547","0.9445","0.4734","0.5117","1.4192","0.0482","0.0488","0","0","0","0","0.13651841","4.4746","4.4039","0.74260956","101.87090630362859","0","0","0.0007","-0.0085"
"10075","571584","2019","Caleb","Cotham","1","1","0","0","0","1","0","0.6","FA","FA","92.3","0.24348","R","31","0.19","0.0901","0.010222","0.42901045","0.36599489","0.20499466","4.15","0.297909","4.405","4.405","4.6998","5.0427","0.837","0.3969","0.0376","0.66584","0.20164","0.02057","0.1454","0.045","0.035","0.04691","1.3262","1.1314","0.6337","7.5329999999999995","3.5721","0.40499999999999997","1.3086","1.0334","0.5222","0.5603","1.4303000000000001","0.0458","0.0512","0","0","0","0","0.12851335","4.7029","4.7029","0.71948669","112.3711884084288","0","0","-0.0021","0.0016"
"10078","573204","2019","Caleb","Thielbar","1","1","0","0","0","1","0","0.6","AL","DET","89.3","0.29432","L","32","0.1723","0.0738","0.008965","0.38202247","0.41102547","0.20695205","4.19","0.296907","4.369","4.369","4.8384","5.157","0.7527","0.3224","0.0351","0.68071","0.21038","0.02691","0.1625","0.0392","0.0236","0.05484","1.2342","1.3279","0.6686","6.7743","2.9016","0.3528","1.4625000000000001","1.0805","0.5376","0.573","1.4029","0.0444","0.0525","0","0","0","0","0.12237367","4.8529","4.7546","0.71554421","115.68002047424014","0","0","-0.0018","0.0011"
"1011","285064","2019","Ryan","Vogelsong","1","0.3222105263157895","0.1442","0.8250658","0.822","0.17800000000000005","0","0.9300263","NL","PIT","89.5049605","0.57693","R","41","0.15400338","0.09492794","0.008621","0.41173121","0.37477521","0.21349359","4.8932902","0.3049772555","4.556","4.556","5.49","5.850899999999999","0.7016","0.4324","0.0206","0.72917","0.23046","0.02289","0.1605","0.0393","0.0479","0.05199","1.3737","1.2504","0.7123","6.3144","3.8916","0.3537","1.4445000000000001","1.143","0.61","0.6501","1.5754000000000001","0.0438","0.0722","0.0448","0","0","0","0.12835893","5.2593958","5.3570801999999995","0.69395683","131.2561226912334","0.0006","0.0003","-0.002","-0.0039"
