Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid,GP,IDFANGRAPHS,Position,R_z,HR_z,SB_z,RBI_z,OBP_z,SLG_z,z-score,FVARz,SGP,R_sgp,HR_sgp,SB_sgp,RBI_sgp,OBP_sgp,SLG_sgp
Juan Soto,WSN,154,665,543,165,34,3,39,118,131,113,113,4,14,4,0.303,0.424,0.594,1.018,0.414,-2.3,0.3,5.9,3.7,20123,154,20123,OF,2.260630738,1.712709122,0.613966213,2.893490811,2.718347552,2.044093641,12.24323808,14.16530375,16.6426227,3.883915447,2.527219346,1.968177779,4.434998851,2.089770939,1.738540335
Ronald Acuna Jr.,ATL,156,672,569,160,29,2,42,125,106,88,169,10,30,8,0.282,0.385,0.559,0.944,0.391,3.8,3.3,5.6,1.7,18401,156,18401,OF,2.654044224,2.026374206,2.415644986,1.619547527,1.42527354,1.555150714,11.6960352,13.61810086,17.17463863,4.114317211,2.721620835,4.217523812,3.588625024,1.179575882,1.352975869
Mike Trout,LAA,157,679,538,151,27,4,43,116,116,121,149,12,12,3,0.281,0.421,0.586,1.007,0.41,-3.3,1.3,7.4,6.1,10155,157,10155,OF,2.148226885,2.130929233,0.388756367,2.12912484,2.673549712,1.898220924,11.36880796,13.29087363,15.90011345,3.818086372,2.786421331,1.687009525,3.927174555,2.058308457,1.62311321
Cody Bellinger,LAD,151,651,558,154,29,4,40,101,120,85,127,3,15,4,0.277,0.373,0.555,0.928,0.379,1.1,0.9,5.4,16.2,15998,151,15998,1B/OF,1.305197988,1.81726415,0.726571136,2.332955766,0.985577402,1.459029678,8.626596121,10.54866179,14.23161221,3.324368307,2.592019842,2.108761906,4.062594367,0.867258519,1.276609269
Mookie Betts,LAD,157,679,583,164,34,3,33,118,95,82,105,5,22,5,0.282,0.373,0.522,0.895,0.372,14.5,4,6.2,3.9,13611,157,13611,OF,2.260630738,1.085378956,1.514805599,1.059012481,1.029458222,0.957482052,7.906768049,9.828833718,14.11643198,3.883915447,2.13841637,3.092850796,3.216220541,0.901863895,0.883164936
Bryce Harper,PHI,154,665,538,138,29,2,36,105,111,115,162,6,14,5,0.256,0.389,0.521,0.91,0.376,-1.7,-0.6,3.9,19,11579,154,11579,OF/DH,1.530005694,1.399044039,0.613966213,1.874336184,1.544248711,0.866808523,7.828409364,9.750475033,13.58448022,3.456026457,2.332817858,1.968177779,3.757899789,1.262683944,0.806874394
Jose Ramirez,CLE,154,665,574,160,41,3,34,103,105,78,98,6,26,8,0.279,0.368,0.539,0.907,0.375,1.8,2.6,5.7,10.9,13510,154,13510,3B,1.417601841,1.189933983,1.965225292,1.568589795,0.839789406,1.23032539,8.211465708,9.544007413,14.66705215,3.390197382,2.203216866,3.655187304,3.554770071,0.766431746,1.097248779
Christian Yelich,MIL,156,672,566,155,30,3,35,106,95,93,162,7,19,5,0.275,0.382,0.524,0.906,0.376,-0.8,2.4,4.3,11.1,11477,156,11477,OF/DH,1.58620762,1.294489011,1.176990829,1.059012481,1.323577159,0.962609583,7.402886685,9.324952355,13.63776944,3.488940995,2.268017362,2.671098415,3.216220541,1.107989888,0.885502244
Yordan Alvarez,HOU,131,600,521.3778497,146.435538,30.51993679,0.136333802,38.17063411,89.93082073,106.4713401,69.40160972,150.9799961,4.276603044,4.311038833,1.137551627,0.279894893,0.365585765,0.559902887,0.925565893,0.382,0,-0.4,3.7,77.9,19556,139.996827,19556,DH,0.683088788,1.625994749,-0.477058516,1.643565948,0.681246594,1.437901034,5.594738597,8.381630614,11.54656643,2.960031388,2.473476025,0.606063631,3.604582221,0.644508904,1.257904258
Giancarlo Stanton,NYY,136,600,515.6828544,128.703832,24.55270429,1.049575928,41.42568513,89.42938936,113.2623055,70.87331263,191.5381804,7.100582925,4.11310503,2.050018774,0.249874507,0.34619846,0.541242868,0.887469416,0.365,0,-1,2.6,120.4,4949,139.2715735,4949,DH,0.654907379,1.966326699,-0.499346836,1.989618139,0.094455305,1.138254966,5.344215651,8.131107667,11.28873436,2.943527007,2.684404946,0.57823728,3.834490036,0.228262907,1.019812182
Marcell Ozuna,ATL,149,644,572,161,28,2,35,89,120,66,138,2,5,2,0.282,0.357,0.52,0.876,0.364,1.5,0.1,3.4,45.7,10324,149,10324,OF/DH,0.63077487,1.294489011,-0.399478096,2.332955766,0.454825696,0.905454856,5.219022102,7.141087771,11.29557914,2.929393854,2.268017362,0.702920635,4.062594367,0.491596246,0.841056677
Alex Bregman,HOU,154,665,555,154,37,2,31,100,99,95,88,9,6,2,0.278,0.389,0.519,0.908,0.381,-1.4,-0.2,6,43,17678,154,17678,3B,1.248996061,0.8762689,-0.286873173,1.262843407,1.544248711,0.861828463,5.507312369,6.839854075,11.5629052,3.291453769,2.008815378,0.843504762,3.351640353,1.262683944,0.804806991
Kyle Tucker,HOU,151,651,584,156,31,7,29,94,102,55,138,5,23,6,0.268,0.333,0.495,0.828,0.344,3,1.8,3.5,31.7,18345,151,18345,OF/DH,0.911784502,0.667158845,1.627410523,1.415716601,-0.32800085,0.494079752,4.788149373,6.710215043,12.11892103,3.093966543,1.879214386,3.233434923,3.453205212,-0.05946705,0.518567016
Aaron Judge,NYY,134,600,500.6615963,126.1959505,20.88632271,1.077848423,36.56712098,96.46354099,95.44003429,87.45303657,182.8162369,5.165183224,4.252813613,3.073602647,0.25180148,0.367924691,0.518642838,0.885796264,0.37,7.4,-0.3,4.4,54.5,15640,139.1575754,15640,OF,1.050240252,1.458339389,-0.483614962,1.081435631,0.752038377,0.77103307,4.629471757,6.551537426,10.79495326,3.175052856,2.369567579,0.597878089,3.231117881,0.69472573,0.726611126
Eloy Jimenez,CHW,149,644,595,170,32,2,39,87,115,40,150,4,1,0,0.286,0.333,0.546,0.879,0.362,-3.7,0.1,3.2,31.9,17484,149,17484,OF,0.518371017,1.712709122,-0.849897789,2.078167109,-0.324846557,1.398607493,4.533110395,6.455176064,10.59688926,2.863564779,2.527219346,0.140584127,3.893319602,-0.058871618,1.231073021
Manny Machado,SDP,156,672,597,163,30,2,35,93,113,66,116,3,10,5,0.273,0.345,0.507,0.852,0.352,3.3,-0.2,4.3,21.1,11493,156,11493,3B,0.855582576,1.294489011,0.16354652,1.976251646,0.069321796,0.716634301,5.075825851,6.408367556,11.4809301,3.061052005,2.268017362,1.405841271,3.825609696,0.225095958,0.695313804
Nelson Cruz,MIN,133,600,525.1461846,139.8583027,23.19752595,0.107414511,35.92231778,82.09701027,99.73499522,60.89217735,155.4993909,9.217929671,1.245060899,0.108374009,0.265991431,0.35100333,0.520059547,0.871123734,0.36,0,-2.1,2.1,92,2434,140.0884092,2434,DH,0.242813549,1.390921973,-0.822302726,1.300297096,0.239883244,0.831253673,3.182866808,5.969758825,9.690229614,2.702185139,2.327784012,0.1750358,3.376523581,0.331423603,0.77727748
J.D. Martinez,BOS,149,644,567,153,33,2,32,88,100,67,155,4,3,1,0.271,0.349,0.505,0.854,0.353,0,-1.5,1.8,94.1,6184,149,6184,DH,0.574572944,0.980823928,-0.624687943,1.313801138,0.194934945,0.646589833,3.086034845,5.872926861,9.721834717,2.896479317,2.073615874,0.421752381,3.385495306,0.308106958,0.636384881
Rafael Devers,BOS,152,658,601,171,41,3,33,99,106,47,137,5,6,4,0.284,0.339,0.526,0.865,0.357,-4.4,0.3,3.6,42.1,17350,152,17350,3B,1.192794135,1.085378956,-0.286873173,1.619547527,-0.13199973,1.058308383,4.537156098,5.869697803,10.87357549,3.258539231,2.13841637,0.843504762,3.588625024,0.080337032,0.964153072
Joey Gallo,TEX,149,644,540,113,24,2,41,90,100,93,240,8,7,3,0.209,0.332,0.488,0.82,0.342,3,0.8,2.2,165.1,14128,149,14128,OF,0.686976797,1.921819178,-0.17426825,1.313801138,-0.357332901,0.344487471,3.735483433,5.657549102,10.30074512,2.962308392,2.656820338,0.98408889,3.385495306,-0.081807779,0.393839976
