Name,Team,W,L,SV,HLD,ERA,GS,G,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,ADP,playerid,GP,K,SVH,QS,IDFANGRAPHS,Position,K_z,ERA_z,WHIP_z,QS_z,W_z,SVH_z,z-score,FVARz,SGP,K_sgp,ERA_sgp,WHIP_sgp,QS_sgp,W_sgp,SVH_sgp
Jacob deGrom,NYM,15,7,0,0,2.81,32,32,204,155,64,22,266,49,1,11.75,2.17,2.85,6.3,5.3,10954,32,266,0,18.276,10954,SP,2.66228447,2.027854975,2.365804572,1.209564653,1.465288713,-0.513318669,9.217478714,8.672092192,11.10228119,2.648652209,1.661088737,1.44434558,2.756174816,2.592019843,0
Gerrit Cole,NYY,16,8,0,0,3.38,32,32,200,160,75,29,265,54,1.07,11.96,2.43,3.34,5.5,6.9,13125,32,265,0,19.484,13125,SP,2.644621711,1.05331003,1.705669451,1.409109512,1.694148695,-0.513318669,7.993540731,7.448154208,10.33932774,2.63869487,0.918281568,1.079178736,2.938351396,2.764821166,0
Shane Bieber,CLE,14.53514117,9.210297809,0,0,3.408104308,32.41738201,31,200,170.688052,73.73170783,25.62378103,234,42.16302905,1.09204688,10.85542828,1.96366307,3.232457551,5.2,9.7,19427,32.60134644,241.1571531,0.020892924,17.67185654,19427,SP,2.223491248,1.007257769,1.512727508,1.109768526,1.358901128,-0.511153738,6.700992442,6.15560592,9.434955546,2.401283558,0.883101956,0.972193934,2.665064892,2.511691621,0.001619585
Max Scherzer,WSN,14.4716382,7.578318975,0,0,3.457286846,32.89780053,29,200,157.142143,71.76219652,27.71539782,235,49.19832988,1.111039708,11.55092332,2.401870612,3.42777351,4.8,28.1,3137,33.40370271,254.6821711,0.057455542,17.52060549,3137,SP,2.462380383,0.926666312,1.346512913,1.084783948,1.344367842,-0.507365108,6.65734629,6.111959768,9.384950666,2.535956749,0.821537636,0.880029238,2.642254959,2.500718226,0.004453859
Clayton Kershaw,LAD,15.73920879,7.68346788,0,0,3.436538999,33.60649154,29,200,165.986169,70.62805044,26.02728833,188,41.7798444,1.133733144,9.60738725,2.086001041,3.589120817,3.8,32.8,2036,34.20437593,211.2607476,0.067902004,19.03053376,2036,SP,1.695438238,0.960664134,1.147912667,1.334203174,1.634464023,-0.506282643,6.266399592,5.72101307,9.315995263,2.10359491,0.847508786,0.76990695,2.869964866,2.719756099,0.005263651
Yu Darvish,SDP,14.07028233,8.420595618,0,0,3.482208615,33.83476402,31,200,157.376104,73.46341565,25.24756205,227,57.32605809,1.140238435,10.92526928,2.73557332,3.512510839,4.2,17.9,13074,34.20269288,241.3143062,0.041785848,17.06771308,13074,SP,2.226267006,0.885829019,1.090982008,1.009972399,1.252513544,-0.508988807,5.956575169,5.411188647,8.940087038,2.402848385,0.790341772,0.738339344,2.573954967,2.4313634,0.00323917
Lucas Giolito,CHW,14.73920879,8.68346788,0,0,3.593138999,33.60649154,29,200,149.986169,73.62805044,26.02728833,222,63.7798444,1.169131374,11.20915716,3.094850598,3.615669489,4.2,18.3,15474,34.20437593,245.2607476,0.067902004,17.82253376,15474,SP,2.29597205,0.704056348,0.838127183,1.134658314,1.405604041,-0.506282643,5.872135293,5.326748771,8.931768958,2.44214444,0.651484488,0.598133316,2.687788286,2.546954776,0.005263651
Walker Buehler,LAD,14.00677937,6.788616785,0,0,3.444610308,34.31518254,29,197,151.830195,68.49390435,23.33917884,204,50.36135892,1.138751392,10.67543639,2.547344469,3.476418017,4.2,19.3,19374,35.00504915,230.8393242,0.078348466,16.91646203,19374,SP,2.041249921,0.932637654,1.086559143,0.984987821,1.237980258,-0.505200177,5.778214618,5.232828096,8.837716016,2.298545436,0.826085294,0.735476804,2.551145034,2.420390004,0.006073444
Carlos Carrasco,NYM,14.87299408,8.736042332,0,0,3.581565076,33.96083704,29,200,159.908182,73.06097739,26.18323359,203,52.07060166,1.162325124,10.43312188,2.568187346,3.628197795,3.6,62.3,6632,34.60471254,228.0500359,0.073125235,17.9734979,6632,SP,1.991983393,0.723021602,0.897691671,1.159595498,1.43622214,-0.50574141,5.702772894,5.157386372,8.854201621,2.270771547,0.665972164,0.63116136,2.71055495,2.570073052,0.005668548
Jack Flaherty,STL,13.6054235,9.630893428,0,0,3.543512923,35.25214603,31,200,153.064156,73.19512348,24.87134308,214,60.48908714,1.158202022,10.68655021,2.93448998,3.674346035,3.6,29.3,17479,35.80403932,235.4714594,0.062678773,16.46356963,17479,SP,2.123066208,0.785374596,0.933774756,0.910176272,1.146125959,-0.506823876,5.391693916,4.846307394,8.54818131,2.344669177,0.713604008,0.651169149,2.482845042,2.351035178,0.004858755
Blake Snell,SDP,15.00677937,8.788616785,0,0,3.499359109,33.31518254,28,190,141.830195,66.49390435,21.33917884,197,65.36135892,1.217711664,10.786973,3.404805429,3.582804045,3.5,42.5,13543,34.00504915,223.8393242,0.078348466,18.12446203,13543,SP,1.917610606,0.812875917,0.389408409,1.184532681,1.466840239,-0.505200177,5.266067676,4.720681153,8.641541236,2.228844062,0.734105605,0.346005184,2.733321614,2.593191327,0.006073444
Trevor Bauer,LAD,14.60203381,9.236585035,0,0,3.669467346,32.59455476,31,200,168.1490585,78.9481713,25.70175365,229,66.30840768,1.20832043,10.68263262,3.059795016,3.724378311,4.2,14.6,12703,32.80151474,237.0517973,0.02350454,17.74733861,12703,SP,2.150979336,0.578983245,0.495166518,1.122237117,1.374210178,-0.510883121,5.210693273,4.665306751,8.525830815,2.360405137,0.555940359,0.407964303,2.676448224,2.523250759,0.001822033
Luis Castillo,CIN,14.20406762,9.473170071,0,0,3.625234692,34.18910952,31,200,164.298117,76.89634261,23.40350731,214,67.61681535,1.225128164,10.42816714,3.21557026,3.627477679,4.2,27.3,15689,34.60302949,230.1035945,0.04700908,17.21867722,15689,SP,2.028254904,0.651463726,0.348074645,1.034909582,1.283131643,-0.508447574,4.837386927,4.292000405,8.28377856,2.291219526,0.611308654,0.326403007,2.596721631,2.454481675,0.003644066
Aaron Nola,PHI,13.80271175,9.315446714,0,0,3.647756461,33.12607302,31,200,167.532078,78.59756174,24.93567154,218,64.74454357,1.201502955,10.35327181,3.003126782,3.662862056,4.2,22.6,16149,33.40201966,228.7357297,0.031339386,16.76578481,16149,SP,2.004094637,0.61455912,0.55482924,0.960098032,1.191277345,-0.510071272,4.814787102,4.26940058,8.217740909,2.277599232,0.583116993,0.441046817,2.528421639,2.385126849,0.002429378
Tyler Glasnow,TBR,13.00677937,8.788616785,0,0,3.667372935,33.31518254,28,191,139.830195,70.49390435,23.33917884,217,68.36135892,1.208943738,11.62676045,3.526050654,3.582474615,3.6,47.4,14374,34.00504915,243.8393242,0.078348466,15.70846203,14374,SP,2.27086579,0.554439193,0.465044577,0.785442961,1.009120276,-0.505200177,4.57971262,4.034326098,7.974930745,2.427990845,0.535841414,0.388467906,2.368968454,2.247588681,0.006073444
Charlie Morton,ATL,15.00677937,8.788616785,0,0,3.749187089,34.31518254,29,199,166.830195,75.49390435,21.33917884,184,59.36135892,1.251382385,9.696043929,2.946406963,3.762431833,3.5,120.4,4676,35.00504915,210.8393242,0.078348466,18.12446203,4676,SP,1.687994737,0.445914802,0.117428614,1.184532681,1.466840239,-0.505200177,4.397510896,3.852124374,8.084188517,2.099398654,0.454097657,0.198105822,2.733321614,2.593191327,0.006073444
Brandon Woodruff,MIL,12.87299408,8.736042332,0,0,3.701965076,33.96083704,29,200,162.908182,76.06097739,24.18323359,200,58.07060166,1.206184773,10.26645522,2.831345241,3.672057444,4,32.9,16162,34.60471254,225.0500359,0.073125235,15.5574979,16162,SP,1.938995116,0.525731836,0.513856586,0.760505778,0.978502176,-0.50574141,4.211850082,3.66646356,7.750829347,2.24089953,0.515261274,0.4183278,2.34620179,2.224470406,0.005668548
Joe Musgrove,SDP,14.00677937,10.78861678,0,0,3.927528797,34.31518254,29,199,173.830195,79.49390435,25.33917884,170,48.36135892,1.225312516,9.009537379,2.433699539,3.901471135,3.4,126.7,12970,35.00504915,196.8393242,0.078348466,16.91646203,12970,SP,1.440716108,0.155141803,0.344436762,0.984987821,1.237980258,-0.505200177,3.658062576,3.112676053,7.493510579,1.959995906,0.231863066,0.324043126,2.551145034,2.420390004,0.006073444
Sonny Gray,CIN,14.00677937,9.788616785,0,0,3.876758741,34.31518254,29,198,160.830195,78.49390435,23.33917884,189,71.36135892,1.286213009,9.929886227,3.528321028,3.910249517,3.4,68.8,12768,35.00504915,215.8393242,0.078348466,16.91646203,12768,SP,1.776308533,0.23652571,-0.185225115,0.984987821,1.237980258,-0.505200177,3.545377029,2.999990507,7.450298733,2.149185349,0.293792602,0.0297123,2.551145034,2.420390004,0.006073444
Dinelson Lamet,SDP,12.00677937,6.788616785,0,0,3.611646335,29.31518254,24,169,122.830195,60.49390435,19.33917884,183,58.36135892,1.203651086,11.35584955,3.432950726,3.581994421,3.1,91.1,17186,30.00504915,209.8393242,0.078348466,14.50046203,17186,SP,1.670331978,0.56321434,0.443886216,0.585898102,0.780260294,-0.505200177,3.538390752,2.99300423,7.26600676,2.089441315,0.539299482,0.369613288,2.186791874,2.074787359,0.006073444
Kevin Gausman,SFG,13.00677937,9.788616785,0,0,3.868081561,34.31518254,29,199,170.830195,78.49390435,23.33917884,182,53.36135892,1.234002472,9.548314671,2.642258491,3.692912183,3.3,137.9,14107,35.00504915,208.8393242,0.078348466,15.70846203,14107,SP,1.652669219,0.252066136,0.26876738,0.785442961,1.009120276,-0.505200177,3.462865794,2.917479272,7.290119842,2.079483975,0.305941263,0.282064024,2.368968454,2.247588681,0.006073444
Edwin Diaz,NYM,4.047864131,2,32.21905492,2.412981421,2.77580604,0.173547501,63,65,42.88935563,19.40861594,7.103413918,100,25.33700325,1.063973099,14.10118069,3.51538317,2.900446582,1.8,76.1,14710,64.80595953,102.3498389,34.62059072,0.031773528,14710,RP,-0.228228916,0.637580378,0.532033323,-1.804128734,-1.041216904,3.074077208,1.170116356,2.908315945,5.377178424,1.019132056,0.583693792,0.3863535,0.004791716,0.699476277,2.683731084
Hyun-Jin Ryu,TOR,13.73920879,8.68346788,0,0,3.819338999,33.60649154,29,200,182.986169,78.62805044,26.02728833,161,43.7798444,1.231078277,8.377298754,2.183346174,3.93425356,3.4,70.7,14444,34.20437593,184.2607476,0.067902004,16.61453376,14444,SP,1.21854374,0.333400658,0.296002585,0.935113455,1.176744059,-0.506282643,3.453521853,2.908135331,7.3856433,1.834746753,0.36833828,0.297529456,2.505611706,2.374153454,0.005263651
Stephen Strasburg,WSN,13.00677937,8.788616785,0,0,3.818341395,33.31518254,28,194,164.830195,75.49390435,23.33917884,178,52.36135892,1.234538241,9.649527052,2.712933904,3.780700401,4,71,10131,34.00504915,204.8393242,0.078348466,15.70846203,10131,SP,1.582018182,0.323806085,0.255997846,0.785442961,1.009120276,-0.505200177,3.451185172,2.90579865,7.295002859,2.039654619,0.359579672,0.273137988,2.368968454,2.247588681,0.006073444
Kenta Maeda,MIN,14.00677937,10.78861678,0,0,4.182391153,34.31518254,29,200,169.830195,86.49390435,28.33917884,185,60.36135892,1.25998507,9.644495912,2.972422585,4.118769086,3.2,50.5,18498,35.00504915,211.8393242,0.078348466,16.91646203,18498,SP,1.705657496,-0.261503615,0.043026523,0.984987821,1.237980258,-0.505200177,3.204948305,2.659561783,7.15810785,2.109355993,-0.086112828,0.157256203,2.551145034,2.420390004,0.006073444
Zac Gallen,ARI,13.00677937,9.788616785,0,0,3.911990688,33.31518254,28,190,156.830195,75.49390435,24.33917884,185,60.36135892,1.260893482,10.15651845,3.14571452,3.92825859,2.9,40,19291,34.00504915,211.8393242,0.078348466,15.70846203,19291,SP,1.705657496,0.170537143,0.030400476,0.785442961,1.009120276,-0.505200177,3.195958175,2.650571653,7.118872662,2.109355993,0.24094975,0.145936339,2.368968454,2.247588681,0.006073444
Liam Hendriks,CHW,5,3,29,3,3.11,0,68,68,52,23,9,95,19,1.05,12.55,2.54,3.02,1.9,56.6,3548,68,95,32,0,3548,RP,-0.35804735,0.482630119,0.600863026,-1.809377281,-0.823311106,2.80253082,0.895288229,2.633487819,5.176115902,0.945947218,0.457354204,0.428220652,0,0.864006614,2.480587215
Aroldis Chapman,NYY,4.047864131,2,31.21905492,3.38221219,2.863036809,0.173547501,63,65,42.88935563,20.40861594,6.103413918,99,30.33700325,1.141585039,13.94595681,4.223592125,2.968357029,1.9,69.3,10233,64.80595953,101.3498389,34.62059072,0.031773528,10233,RP,-0.245891675,0.591125521,0.311288047,-1.804128734,-1.041216904,3.074077208,0.885253463,2.623453052,5.197886278,1.009174717,0.545633998,0.255078486,0.004791716,0.699476277,2.683731084
Zack Greinke,HOU,12.93649704,9.368021166,0,0,4.005782538,33.48041852,31,200,187.454091,86.0304887,32.09161679,172,41.03530083,1.193948898,8.366242498,1.947539053,4.18978761,2.8,107.1,1943,33.80235627,184.525018,0.036562617,15.70874895,1943,SP,1.223211483,0.027890673,0.620938115,0.785490356,0.993035463,-0.509530039,3.14103605,2.595649528,7.057328938,1.837378182,0.134957285,0.477703672,2.369011723,2.235443802,0.002834274
Max Fried,ATL,15.00677937,9.788616785,0,0,3.918891153,34.31518254,29,200,177.830195,80.49390435,20.33917884,170,66.36135892,1.338245939,8.966235042,3.276770411,3.89268213,3.1,68.9,13743,35.00504915,196.8393242,0.078348466,18.12446203,13743,SP,1.440716108,0.170272575,-0.641868777,1.184532681,1.466840239,-0.505200177,3.11529265,2.569906128,7.313793107,1.959995906,0.243723714,-0.222512897,2.733321614,2.593191327,0.006073444
Jose Berrios,MIN,13.73920879,10.68346788,0,0,4.071638999,33.60649154,29,200,173.986169,83.62805044,27.02728833,180,59.7798444,1.266476507,9.244555391,2.900160333,4.120094268,3,83.5,14168,34.20437593,203.2607476,0.067902004,16.61453376,14168,SP,1.554136164,-0.080022997,-0.0137829,0.935113455,1.176744059,-0.506282643,3.065905139,2.520518617,7.087242185,2.023936197,0.052521355,0.125755822,2.505611706,2.374153454,0.005263651
Lance Lynn,CHW,13.00338969,10.39430839,0,0,4.098695577,33.65759127,31,200,176.9150975,87.24695217,31.16958942,201,65.18067946,1.26929434,9.698218744,3.041063243,4.282132302,3,52.3,2520,34.00252457,214.4196621,0.039174233,15.78423102,2520,SP,1.751233383,-0.124358427,-0.038442993,0.797958947,1.008344512,-0.509259423,2.885476,2.340089478,6.896219243,2.135049292,0.018653242,0.112081992,2.380395055,2.247002939,0.003036722
Josh Hader,MIL,4.023932066,2,25.10952746,2.206490711,2.945133789,0.086773751,64,65,40.44467782,21.20430797,8.051706959,105,26.16850162,1.032471194,14.66688717,3.6210657,3.043029704,2,58.6,14212,64.90297976,106.1749194,27.31029536,0.015886764,14212,RP,-0.160667439,0.547404669,0.621631607,-1.806753007,-1.046693996,2.316582235,0.471504068,2.209703658,4.821456211,1.05721968,0.509814137,0.439636705,0.002395858,0.695340784,2.117049047
James Karinchak,CLE,4.047864131,3,31.21905492,3.38221219,3.260421425,0.173547501,63,65,40.88935563,23.40861594,7.103413918,107,40.33700325,1.277405935,15.06162845,5.69821899,3.307909268,1.5,94.9,20151,64.80595953,109.3498389,34.62059072,0.031773528,20151,RP,-0.104589602,0.379497835,-0.075016186,-1.804128734,-1.041216904,3.074077208,0.428623618,2.166823208,4.874430215,1.08883343,0.372250495,0.025347213,0.004791716,0.699476277,2.683731084
